variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi2,5000,0,12,0.429481053719865,0.39840901505370474,1,1.0779903001491364
Pi2,5000,0,13,0.47530736636562165,0.39840901505370474,1,1.1930135825404231
Pi2,5000,0,14,0.4826773509652391,0.39840901505370474,1,1.211512121281129
Pi2,5000,0,15,0.4987277673244058,0.39840901505370474,1,1.2517983993338562
Pi2,5000,0,16,0.48217610391056165,0.39840901505370474,1,1.210253999512449
Pi2,5000,0,17,0.48804249546330436,0.39840901505370474,1,1.2249785447187163
Pi2,5000,0,18,0.48650670029393245,0.39840901505370474,1,1.2211237243925124
Pi2,5000,0,19,0.49781367598699094,0.39840901505370474,1,1.2495040452834298
Pi2,5000,0,20,0.4691075702397749,0.39840901505370474,1,1.1774521974020595
Pi2,5000,0,21,0.47170225799278653,0.39840901505370474,1,1.1839648204978546
Pi2,5000,0,22,0.4645937765617911,0.39840901505370474,1,1.16612265036012
Pi2,5000,0,23,0.4542691612554871,0.39840901505370474,1,1.1402080376977728
Pi2,5000,0,24,0.47112278735492624,0.39840901505370474,1,1.182510358836684
Pi2,5000,0,25,0.465423292613217,0.39840901505370474,1,1.1682047218496772
Pi2,5000,0,26,0.4706098723117861,0.39840901505370474,1,1.181222950611067
Pi2,5000,0,27,0.49197515273754083,0.39840901505370474,1,1.23484944905482
Pi2,5000,0,28,0.5010900996266149,0.39840901505370474,1,1.2577278141135158
Pi2,5000,0,29,0.5062637718691169,0.39840901505370474,1,1.2707136453749008
Pi2,5000,0,30,0.48807146567087634,0.39840901505370474,1,1.2250512594577843
Pi2,5000,0,31,0.484192396400246,0.39840901505370474,1,1.2153148601192616
Pi2,5000,0,32,0.48375999294976935,0.39840901505370474,1,1.214229534651869
Pi2,5000,0,33,0.45769438983524247,0.39840901505370474,1,1.148805304452125
Pi2,5000,0,34,0.48315068912201176,0.39840901505370474,1,1.2127001921803502
Pi2,5000,0,35,0.5058451068227015,0.39840901505370474,1,1.2696628030731547
Pi2,5000,0,36,0.49761557042286725,0.39840901505370474,1,1.2490068036130901
Pi2,5000,0,37,0.48159456028184916,0.39840901505370474,1,1.208794334678725
Pi2,5000,0,38,0.47477030334801684,0.39840901505370474,1,1.1916655633006166
Pi2,5000,0,39,0.46991568104442605,0.39840901505370474,1,1.179480542078302
Pi2,5000,0,40,0.44006655730189537,0.39840901505370474,1,1.1045597380435161
Pi2,5000,0,41,0.44324103512189617,0.39840901505370474,1,1.112527624562281
Pi2,5000,0,42,0.47008722200318975,0.39840901505370474,1,1.179911107031107
Pi2,5000,0,43,0.47464680887272737,0.39840901505370474,1,1.1913555942220482
Pi2,5000,0,44,0.4417480284677252,0.39840901505370474,1,1.1087802026974176
Pi2,5000,0,45,0.4485517369953785,0.39840901505370474,1,1.1258573979178523
Pi2,5000,0,46,0.5062629319657121,0.39840901505370474,1,1.2707115372313273
Pi2,5000,0,47,0.4549800903412499,0.39840901505370474,1,1.1419924578762846
Pi2,5000,0,48,0.44251577195575864,0.39840901505370474,1,1.110707226080485
Pi2,5000,0,49,0.43542313678239697,0.39840901505370474,1,1.0929048297857988
Pi1,500,0,0,1.0476818077605965,0.39840901505370474,1,2.6296639086326175
Pi1,500,0,1,1.2137859237530346,0.39840901505370474,1,3.0465824765270906
Pi1,500,0,2,1.1825791687543945,0.39840901505370474,1,2.9682540406245206
Pi1,500,0,3,1.1440106222101296,0.39840901505370474,1,2.8714476304104695
Pi1,500,0,4,1.2295743378907409,0.39840901505370474,1,3.0862111333625237
Pi1,500,0,5,1.104763628767815,0.39840901505370474,1,2.7729383297687056
Pi1,500,0,6,1.076166009921367,0.39840901505370474,1,2.7011587822035152
Pi1,500,0,7,1.0481338530238888,0.39840901505370474,1,2.6307985347234237
Pi1,500,0,8,1.083647684403003,0.39840901505370474,1,2.719937660690056
Pi1,500,0,9,1.152774687411958,0.39840901505370474,1,2.8934452882713164
Pi1,500,0,10,1.0410198037951508,0.39840901505370474,1,2.612942389505979
Pi1,500,0,11,1.0388205272101143,0.39840901505370474,1,2.607422241863888
Pi1,500,0,12,1.0795999123428799,0.39840901505370474,1,2.7097778201563836
Pi1,500,0,13,1.2973808127858029,0.39840901505370474,1,3.2564042573457295
Pi1,500,0,14,1.303208806688096,0.39840901505370474,1,3.2710324250881375
Pi1,500,0,15,1.275581951223318,0.39840901505370474,1,3.2016894774616786
Pi1,500,0,16,1.1125844243833045,0.39840901505370474,1,2.7925683966597252
Pi1,500,0,17,1.299603455476795,0.39840901505370474,1,3.261983053525059
Pi1,500,0,18,1.0074518310994347,0.39840901505370474,1,2.5286873364640914
Pi1,500,0,19,1.2906062520831791,0.39840901505370474,1,3.239400222681226
Pi1,500,0,20,1.025883166323846,0.39840901505370474,1,2.574949681260498
Pi1,500,0,21,1.2499009100232774,0.39840901505370474,1,3.1372304912698654
