game,base_ctilde,dec_marginal,dec_contribution,dec_random,dec_occupancy,marginal_wins,group,base_loss,new_loss,delta_loss,loss_increased,frac_marginal_wins,disagree_top1,disagree_top2,mean_dec_marginal,mean_dec_contribution,mean_dec_random,mean_dec_occupancy,viol_2a,frac_non_increase_2b,frac_rise_2c,counterex_2c,drift_count,drift_example
58.0,0.4597709781414813,0.09434515934070714,0.08484720363012421,0.0425917708702771,0.06687341871485003,1.0,1,,,,,,,,,,,,,,,,,
59.0,0.5722374231240341,0.09075618364601179,0.08495818130027838,0.021112775046729704,0.07640491530904697,1.0,1,,,,,,,,,,,,,,,,,
60.0,0.4836537425249998,0.08389405076962081,0.07936256259722979,0.03754701210040279,0.05931512410323303,1.0,1,,,,,,,,,,,,,,,,,
61.0,0.5569171079271429,0.08988828381815678,0.08280173982179256,0.01924387452160936,0.07610461935398394,1.0,1,,,,,,,,,,,,,,,,,
62.0,0.4135690260517205,0.07645639734685417,0.0729808181182553,0.029553596738511878,0.05098412732792135,1.0,1,,,,,,,,,,,,,,,,,
63.0,0.4723734224387826,0.09798524764815991,0.09423176435010766,0.034357581185398556,0.06651067804945365,1.0,1,,,,,,,,,,,,,,,,,
64.0,0.42915804534594365,0.07197044684665427,0.06650491119095381,0.01726642932593503,0.05446208404427055,1.0,1,,,,,,,,,,,,,,,,,
65.0,0.6095349201574877,0.07880536255591797,0.07448654324624526,0.026482877238816815,0.042091234755158524,1.0,1,,,,,,,,,,,,,,,,,
66.0,0.4946599448907501,0.06540521616331613,0.06393890504911753,0.020247045659586127,0.0441433334685149,1.0,1,,,,,,,,,,,,,,,,,
67.0,0.45071893416264663,0.07542313834853415,0.06791980539866294,0.020615781187774074,0.0686817205656467,1.0,1,,,,,,,,,,,,,,,,,
68.0,0.4577864193393262,0.06667658190380071,0.060793766383103964,0.02204814307511732,0.045115544818741804,1.0,1,,,,,,,,,,,,,,,,,
69.0,0.4840780095534463,0.057679438304757524,0.054540630103809384,0.013353780075312405,0.02982202126882466,1.0,1,,,,,,,,,,,,,,,,,
70.0,0.42694698079104587,0.08538397305894252,0.08335204989965456,0.0258525696000958,0.058970650889023424,1.0,1,,,,,,,,,,,,,,,,,
71.0,0.5136618587181645,0.09217151296236425,0.08593084419836927,0.053463689743667164,0.06710899720553132,1.0,1,,,,,,,,,,,,,,,,,
72.0,0.48099824894258636,0.07563659581342275,0.07374796809299583,0.02970324412046116,0.06399980179235454,1.0,1,,,,,,,,,,,,,,,,,
73.0,0.5398976172188601,0.0883198460544326,0.0859456405525637,0.041502235025624,0.04517753034727828,1.0,1,,,,,,,,,,,,,,,,,
74.0,0.5463164484659314,0.07411593913197412,0.06705157917002746,0.030847709395697476,0.057867439767110895,1.0,1,,,,,,,,,,,,,,,,,
75.0,0.5094712250364148,0.11025881494982004,0.10741261217260811,0.02485145324701632,0.09370835583124393,1.0,1,,,,,,,,,,,,,,,,,
76.0,0.48646627010976573,0.08369007376901288,0.0774103663854494,0.04358486957278235,0.06315348519149216,1.0,1,,,,,,,,,,,,,,,,,
77.0,0.458837195185937,0.08540523107036568,0.07959984220533367,0.02097415090256044,0.05108597217855354,1.0,1,,,,,,,,,,,,,,,,,
78.0,0.523207808748638,0.0811272490349787,0.07391990563235407,0.02833761705874005,0.05837721871639179,1.0,1,,,,,,,,,,,,,,,,,
79.0,0.3602918087858676,0.07259793834015749,0.06857718980682781,0.03134094126674303,0.036850507322628345,1.0,1,,,,,,,,,,,,,,,,,
80.0,0.5325090186965743,0.0728559217696641,0.05965056964692744,0.021893927280228098,0.06650748625166103,1.0,1,,,,,,,,,,,,,,,,,
81.0,0.4544812559640322,0.08493253309604176,0.07960012715886433,0.018416153177301775,0.06891700868102651,1.0,1,,,,,,,,,,,,,,,,,
82.0,0.49821109466365354,0.07491248789663957,0.0675666686851239,0.013809042802451321,0.06433928775100167,1.0,1,,,,,,,,,,,,,,,,,
83.0,0.4266331317102957,0.07775567704708886,0.07680119654464113,0.030776432932170528,0.06482678965738259,1.0,1,,,,,,,,,,,,,,,,,
84.0,0.42834744033268746,0.06293202242691975,0.05300857364849226,0.021397110447221757,0.04245703077936619,1.0,1,,,,,,,,,,,,,,,,,
85.0,0.3233132276915269,0.07893724165703273,0.07287535414793189,0.01258139590000451,0.07019813599371416,1.0,1,,,,,,,,,,,,,,,,,
86.0,0.41484998911836035,0.06886217247943832,0.0609181944638979,0.026976717161162733,0.051057685798688524,1.0,1,,,,,,,,,,,,,,,,,
87.0,0.3674971405960586,0.07042533168161508,0.06361687003561994,0.01905866519547511,0.04987947233333184,1.0,1,,,,,,,,,,,,,,,,,
88.0,0.49005284642415164,0.09116237413026546,0.0900443007342766,0.046927654952758746,0.05306147318541243,1.0,1,,,,,,,,,,,,,,,,,
