witness,seed,S,A,H,N,occupancy_max_err,cert_err,description,closed_form,ctilde_computed,cstar_computed,true_loss,err_Ctilde_eq_Cstar,ctilde_ge_true,c0,err_C0_eq_Cstar,gap_Ctilde_minus_true,total_ts_checked,collapsed_count,non_collapsed,max_prefix_action_dist_diff
C0_eq_Cstar_n1H1,10,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.15852100834527166,0.07926050417263583,0.15852100834527166,0.07926050417263585,,,0.15852100834527166,0.0,,,,,
C0_eq_Cstar_n1H1,11,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.15982395389844628,0.07991197694922314,0.15982395389844628,0.07991197694922315,,,0.15982395389844628,0.0,,,,,
C0_eq_Cstar_n1H1,12,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.05878969960397675,0.029394849801988376,0.05878969960397675,0.029394849801988428,,,0.05878969960397675,0.0,,,,,
C0_eq_Cstar_n1H1,13,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.18150314296089576,0.09075157148044788,0.18150314296089576,0.0907515714804479,,,0.18150314296089576,0.0,,,,,
C0_eq_Cstar_n1H1,14,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.10668340822740274,0.05334170411370137,0.10668340822740274,0.05334170411370135,,,0.10668340822740274,0.0,,,,,
C0_eq_Cstar_n1H1,15,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.20930560379811392,0.10465280189905696,0.20930560379811392,0.10465280189905696,,,0.20930560379811392,0.0,,,,,
C0_eq_Cstar_n1H1,16,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.09930467766878757,0.04965233883439379,0.09930467766878757,0.04965233883439381,,,0.09930467766878757,0.0,,,,,
C0_eq_Cstar_n1H1,17,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.22708405516635588,0.11354202758317794,0.22708405516635588,0.11354202758317794,,,0.22708405516635588,0.0,,,,,
C0_eq_Cstar_n1H1,18,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.13860905186776198,0.06930452593388099,0.13860905186776198,0.069304525933881,,,0.13860905186776198,0.0,,,,,
C0_eq_Cstar_n1H1,19,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.17315682802773294,0.08657841401386647,0.17315682802773294,0.08657841401386648,,,0.17315682802773294,0.0,,,,,
Ctilde_closed_form,0,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3928265973353602,0.3928265973353602,0.7912626814574651,0.37900867703747537,,1.0,,,0.013817920297884811,,,,
Ctilde_closed_form,1,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3659317936762035,0.3659317936762035,0.7219389021654765,0.3604928265512969,,1.0,,,0.005438967124906602,,,,
Ctilde_closed_form,2,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3823664680823055,0.3823664680823055,0.786655073392056,0.37519129911029553,,1.0,,,0.007175168972009982,,,,
Ctilde_closed_form,3,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.2745949079165987,0.2745949079165987,0.569967161235364,0.26703388989335375,,1.0,,,0.0075610180232449364,,,,
Ctilde_closed_form,4,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.34448930946423134,0.34448930946423134,0.7098420863553777,0.3378836259365472,,1.0,,,0.0066056835276841475,,,,
Ctilde_closed_form,5,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.37298739361358946,0.37298739361358946,0.7943299935877877,0.3676527040894162,,1.0,,,0.005334689524173264,,,,
Ctilde_closed_form,6,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.3857871827108596,0.3857871827108596,0.8633321846106065,0.3813385358587808,,1.0,,,0.004448646852078797,,,,
Ctilde_closed_form,7,4,3,4,5,0.0,0.0,manual Σ rho*g*W~ == cert_Ctilde to machine precision,0.36512618467578245,0.36512618467578245,0.6770507747547936,0.36050476307342716,,1.0,,,0.004621421602355291,,,,
