episode,t,agent,F,score
71,5,agent_1,1,1.265655517578125
264,10,agent_2,1,1.2645044326782227
47,10,agent_1,1,1.2630434036254883
177,8,agent_0,1,1.262399673461914
202,8,agent_1,1,1.2620391845703125
160,15,agent_1,1,1.261643409729004
188,13,agent_1,1,1.2591900825500488
124,15,agent_1,1,1.2582931518554688
8,1,agent_0,1,1.2582855224609375
262,1,agent_0,1,1.2571296691894531
25,9,agent_1,1,1.2568855285644531
143,10,agent_2,1,1.2544031143188477
161,14,agent_1,1,1.254110336303711
48,19,agent_2,1,1.2537484169006348
284,12,agent_1,1,1.2530202865600586
268,8,agent_2,1,1.2527055740356445
286,9,agent_1,1,1.2514228820800781
62,12,agent_2,1,1.2513494491577148
6,0,agent_1,1,1.2500114440917969
286,11,agent_2,1,1.2498502731323242
54,7,agent_2,1,1.2473258972167969
19,3,agent_2,1,1.2451534271240234
120,11,agent_0,1,1.242197036743164
77,10,agent_0,1,1.2418718338012695
3,5,agent_1,1,1.2383880615234375
206,5,agent_1,1,1.2368621826171875
19,6,agent_2,1,1.2361297607421875
244,15,agent_0,1,1.2347016334533691
66,11,agent_2,1,1.234349250793457
105,3,agent_2,1,1.2306365966796875
14,7,agent_0,1,1.2271003723144531
28,8,agent_0,1,1.2270030975341797
109,13,agent_1,1,1.226426124572754
112,7,agent_1,1,1.2259092330932617
294,12,agent_2,1,1.2231292724609375
14,11,agent_1,1,1.222874641418457
65,4,agent_0,1,1.2207527160644531
217,6,agent_1,1,1.2206268310546875
160,13,agent_1,1,1.2200593948364258
226,2,agent_1,1,1.2181167602539062
226,6,agent_2,1,1.217656135559082
34,8,agent_2,1,1.2175884246826172
36,19,agent_2,1,1.2167305946350098
28,15,agent_0,1,1.2151355743408203
180,12,agent_2,1,1.2137527465820312
209,4,agent_1,1,1.21331787109375
19,5,agent_2,1,1.2132797241210938
179,7,agent_1,1,1.213216781616211
256,3,agent_2,1,1.2127437591552734
58,11,agent_0,1,1.2124242782592773
25,3,agent_1,1,1.2100067138671875
172,7,agent_1,1,1.2089548110961914
30,12,agent_2,1,1.208292007446289
149,13,agent_1,1,1.2040061950683594
8,4,agent_2,1,1.202341079711914
112,15,agent_0,1,1.2015361785888672
161,9,agent_2,1,1.2007169723510742
213,7,agent_1,1,1.1978635787963867
206,11,agent_2,1,1.1958112716674805
182,8,agent_2,1,1.1923332214355469
111,7,agent_1,1,1.1911487579345703
282,16,agent_1,1,1.1889543533325195
187,3,agent_1,1,1.1860723495483398
298,3,agent_2,1,1.185537338256836
223,7,agent_2,1,1.184361457824707
34,11,agent_1,1,1.1843109130859375
