bound_type,game,repeat,Bhat,true_loss,covered,ratio_L
empirical_bernstein,0,16,0.3160895892173614,0.24977955816733002,1,1.2654742106862467
hoeffding,0,16,0.39551528013969617,0.24977955816733002,1,1.583457361529706
clipped_empirical_bernstein,0,16,0.30488163882935293,0.24977955816733002,1,1.220602843028129
naive_plugin,0,16,0.2600386190060202,0.24977955816733002,1,1.041072459707922
empirical_bernstein,0,17,0.3226117097308804,0.24977955816733002,1,1.291585717013557
hoeffding,0,17,0.4008042980600997,0.24977955816733002,1,1.6046321044078258
clipped_empirical_bernstein,0,17,0.31569275490167814,0.24977955816733002,1,1.263885472526107
naive_plugin,0,17,0.26532763692642375,0.24977955816733002,1,1.0622472025860414
empirical_bernstein,0,18,0.29953057358950624,0.24977955816733002,1,1.1991796918338988
hoeffding,0,18,0.3804978076094315,0.24977955816733002,1,1.5233344569956038
clipped_empirical_bernstein,0,18,0.2878275845880275,0.24977955816733002,1,1.152326422145437
naive_plugin,0,18,0.2450211464757556,0.24977955816733002,0,0.9809495551738197
empirical_bernstein,0,19,0.3200555564981521,0.24977955816733002,1,1.2813520803962004
hoeffding,0,19,0.3989620044277742,0.24977955816733002,1,1.5972564262464795
clipped_empirical_bernstein,0,19,0.30922740333320753,0.24977955816733002,1,1.2380012423837052
naive_plugin,0,19,0.26348534329409823,0.24977955816733002,1,1.0548715244246951
empirical_bernstein,0,20,0.2989668275360483,0.24977955816733002,1,1.196922717493828
hoeffding,0,20,0.37953749400906767,0.24977955816733002,1,1.519489812512245
clipped_empirical_bernstein,0,20,0.28661668793565703,0.24977955816733002,1,1.1474785608502414
naive_plugin,0,20,0.24406083287539168,0.24977955816733002,0,0.9771049106904605
empirical_bernstein,0,21,0.3045378730337342,0.24977955816733002,1,1.219226566289788
hoeffding,0,21,0.38369534861543736,0.24977955816733002,1,1.5361359089217208
clipped_empirical_bernstein,0,21,0.2974189158391307,0.24977955816733002,1,1.1907256062959586
naive_plugin,0,21,0.2482186874817614,0.24977955816733002,0,0.9937510070999366
empirical_bernstein,0,22,0.2962005349152251,0.24977955816733002,1,1.1858477814937807
hoeffding,0,22,0.3774376697211726,0.24977955816733002,1,1.511083102598504
clipped_empirical_bernstein,0,22,0.2829084414794049,0.24977955816733002,1,1.1326324842398892
naive_plugin,0,22,0.24196100858749664,0.24977955816733002,0,0.9686982007767199
empirical_bernstein,0,23,0.292096158639067,0.24977955816733002,1,1.1694157871933966
hoeffding,0,23,0.37309946245206604,0.24977955816733002,1,1.4937149588603351
clipped_empirical_bernstein,0,23,0.2811947129204101,0.24977955816733002,1,1.125771520229989
naive_plugin,0,23,0.23762280131839011,0.24977955816733002,0,0.9513300570385509
empirical_bernstein,0,24,0.30621744200689044,0.24977955816733002,1,1.2259507713667748
hoeffding,0,24,0.38635369623463667,0.24977955816733002,1,1.5467786838497575
clipped_empirical_bernstein,0,24,0.2947333195309222,0.24977955816733002,1,1.1799737404190505
naive_plugin,0,24,0.2508770351009607,0.24977955816733002,1,1.0043937820279731
empirical_bernstein,0,25,0.31079274405410795,0.24977955816733002,1,1.2442681312051347
hoeffding,0,25,0.3914875876405684,0.24977955816733002,1,1.5673323730451418
clipped_empirical_bernstein,0,25,0.299795944921481,0.24977955816733002,1,1.2002421139709296
naive_plugin,0,25,0.25601092650689244,0.24977955816733002,1,1.0249474712233575
empirical_bernstein,0,26,0.290294960329535,0.24977955816733002,1,1.162204635397198
hoeffding,0,26,0.3724319079022774,0.24977955816733002,1,1.4910423840720435
clipped_empirical_bernstein,0,26,0.2800251732038888,0.24977955816733002,1,1.1210892326757056
naive_plugin,0,26,0.23695524676860147,0.24977955816733002,0,0.9486574822502593
empirical_bernstein,0,27,0.31811870800822245,0.24977955816733002,1,1.2735978490085698
hoeffding,0,27,0.3970945532805824,0.24977955816733002,1,1.5897800292150588
clipped_empirical_bernstein,0,27,0.3062408559361076,0.24977955816733002,1,1.2260445097390777
naive_plugin,0,27,0.26161789214690645,0.24977955816733002,1,1.0473951273932744
empirical_bernstein,0,28,0.2862936564145169,0.24977955816733002,1,1.1461852944055801
hoeffding,0,28,0.36860328805247583,0.24977955816733002,1,1.4757143889474915
clipped_empirical_bernstein,0,28,0.27405842025436744,0.24977955816733002,1,1.0972011571530316
naive_plugin,0,28,0.23312662691879987,0.24977955816733002,0,0.9333294871257072
empirical_bernstein,0,29,0.3380984840607194,0.24977955816733002,1,1.3535874854667793
hoeffding,0,29,0.41579467051366237,0.24977955816733002,1,1.664646512966914
clipped_empirical_bernstein,0,29,0.3314870141604706,0.24977955816733002,1,1.3271182661729424
naive_plugin,0,29,0.2803180093799864,0.24977955816733002,1,1.1222616111451296
empirical_bernstein,0,30,0.3221491957435983,0.24977955816733002,1,1.2897340283058194
hoeffding,0,30,0.4009639833716842,0.24977955816733002,1,1.6052714093723959
clipped_empirical_bernstein,0,30,0.31141162739649825,0.24977955816733002,1,1.2467458493456067
naive_plugin,0,30,0.26548732223800825,0.24977955816733002,1,1.0628865075506115
empirical_bernstein,0,31,0.29018786073373865,0.24977955816733002,1,1.1617758589329343
hoeffding,0,31,0.37197972081378483,0.24977955816733002,1,1.4892320394152976
clipped_empirical_bernstein,0,31,0.2793773439315516,0.24977955816733002,1,1.1184956286310417
naive_plugin,0,31,0.23650305968010885,0.24977955816733002,0,0.9468471375935131
empirical_bernstein,0,32,0.31693368697158764,0.24977955816733002,1,1.2688535815219528
hoeffding,0,32,0.3959188850534616,0.24977955816733002,1,1.585073205983619
clipped_empirical_bernstein,0,32,0.3103873181746895,0.24977955816733002,1,1.2426449964602695
naive_plugin,0,32,0.26044222391978566,0.24977955816733002,1,1.0426883041618347
empirical_bernstein,0,33,0.30802327210300745,0.24977955816733002,1,1.2331804666603634
hoeffding,0,33,0.38749282541377905,0.24977955816733002,1,1.55133922189979
clipped_empirical_bernstein,0,33,0.3015367771783361,0.24977955816733002,1,1.2072115884532606
naive_plugin,0,33,0.2520161642801031,0.24977955816733002,1,1.0089543200780056
empirical_bernstein,0,34,0.3264954791190895,0.24977955816733002,1,1.3071345049796534
hoeffding,0,34,0.40497944553445514,0.24977955816733002,1,1.6213474333362181
clipped_empirical_bernstein,0,34,0.32061813591449173,0.24977955816733002,1,1.2836043840693567
naive_plugin,0,34,0.2695027844007792,0.24977955816733002,1,1.0789625315144338
empirical_bernstein,0,35,0.27942765000063213,0.24977955816733002,1,1.1186970304969495
hoeffding,0,35,0.36229467785762726,0.24977955816733002,1,1.4504576776251727
clipped_empirical_bernstein,0,35,0.26690237783365794,0.24977955816733002,1,1.0685517253371757
naive_plugin,0,35,0.22681801672395133,0.24977955816733002,0,0.9080727758033885
empirical_bernstein,0,36,0.31180836183051824,0.24977955816733002,1,1.2483341876264928
hoeffding,0,36,0.39104780291796115,0.24977955816733002,1,1.5655716816345475
clipped_empirical_bernstein,0,36,0.3057797657569987,0.24977955816733002,1,1.2241985212903355
naive_plugin,0,36,0.2555711417842852,0.24977955816733002,1,1.0231867798127632
empirical_bernstein,0,37,0.2845605464813567,0.24977955816733002,1,1.1392467364792378
hoeffding,0,37,0.36589732749621673,0.24977955816733002,1,1.4648809941888765
clipped_empirical_bernstein,0,37,0.2720059015768983,0.24977955816733002,1,1.0889838366784146
