game,repeat,bound_type,Bhat,Bhat_capped,true_loss,Rmax,covered,ratio_L,ratio_Rmax
1,8,jensen_eb,0.45549826928990567,0.45549826928990567,0.3410240913946273,3.973529060433214,1,1.3356776860752948,0.11463317931296191
1,8,jensen_hoeffding,0.9024800537128099,0.9024800537128099,0.3410240913946273,3.973529060433214,1,2.646382107557543,0.22712305358461807
1,8,raw_plugin_mean,0.3522834823846345,0.3522834823846345,0.3410240913946273,3.973529060433214,1,1.0330164093215868,0.08865758297643526
1,8,exact_value_eb,0.45482210810410556,0.45482210810410556,0.3410240913946273,3.973529060433214,1,1.3336949487764873,0.11446301290030544
1,9,jensen_eb,0.4663786098663237,0.4663786098663237,0.3410240913946273,3.973529060433214,1,1.3675825891333826,0.11737138517755719
1,9,jensen_hoeffding,0.9128246992491545,0.9128246992491545,0.3410240913946273,3.973529060433214,1,2.6767161683977605,0.22972644351307042
1,9,raw_plugin_mean,0.3626281279209791,0.3626281279209791,0.3410240913946273,3.973529060433214,1,1.0633504701618044,0.09126097290488762
1,9,exact_value_eb,0.46502292066328904,0.46502292066328904,0.3410240913946273,3.973529060433214,1,1.3636072418273006,0.11703020503707853
1,10,jensen_eb,0.4544515625835539,0.4544515625835539,0.3410240913946273,3.973529060433214,1,1.3326083817863479,0.11436975939317966
1,10,jensen_hoeffding,0.9026326015270552,0.9026326015270552,0.3410240913946273,3.973529060433214,1,2.6468294302485043,0.22716144459973966
1,10,raw_plugin_mean,0.3524360301988797,0.3524360301988797,0.3410240913946273,3.973529060433214,1,1.0334637320125477,0.08869597399155685
1,10,exact_value_eb,0.45403433767056,0.45403433767056,0.3410240913946273,3.973529060433214,1,1.3313849347527742,0.11426475829550342
1,11,jensen_eb,0.43972601143914686,0.43972601143914686,0.3410240913946273,3.973529060433214,1,1.289427998007048,0.11066384686040416
1,11,jensen_hoeffding,0.8881042096588853,0.8881042096588853,0.3410240913946273,3.973529060433214,1,2.6042271853198375,0.22350515024597797
1,11,raw_plugin_mean,0.3379076383307098,0.3379076383307098,0.3410240913946273,3.973529060433214,0,0.9908614870838811,0.08503967963779518
1,11,exact_value_eb,0.43907591090884424,0.43907591090884424,0.3410240913946273,3.973529060433214,1,1.2875216795189788,0.11050023901447797
1,12,jensen_eb,0.4614300540044053,0.4614300540044053,0.3410240913946273,3.973529060433214,1,1.353071720292178,0.11612600461366648
1,12,jensen_hoeffding,0.9092421808609046,0.9092421808609046,0.3410240913946273,3.973529060433214,1,2.6662109915535113,0.22882484739189862
1,12,raw_plugin_mean,0.3590456095327291,0.3590456095327291,0.3410240913946273,3.973529060433214,1,1.0528452933175552,0.09035937678371583
1,12,exact_value_eb,0.46082625504884583,0.46082625504884583,0.3410240913946273,3.973529060433214,1,1.3513011739560226,0.11597404927462748
1,13,jensen_eb,0.4543706710248206,0.4543706710248206,0.3410240913946273,3.973529060433214,1,1.332371179897172,0.114349401782224
1,13,jensen_hoeffding,0.9019878340640635,0.9019878340640635,0.3410240913946273,3.973529060433214,1,2.6449387501491746,0.22699917890262622
1,13,raw_plugin_mean,0.35179126273588807,0.35179126273588807,0.3410240913946273,3.973529060433214,1,1.0315730519132185,0.08853370829444343
1,13,exact_value_eb,0.45364061678870404,0.45364061678870404,0.3410240913946273,3.973529060433214,1,1.33023040962745,0.11416567235052406
1,14,jensen_eb,0.41831975370545504,0.41831975370545504,0.3410240913946273,3.973529060433214,1,1.2266574833312363,0.10527663126234887
1,14,jensen_hoeffding,0.8679766723639681,0.8679766723639681,0.3410240913946273,3.973529060433214,1,2.545206319044364,0.21843974440930275
1,14,raw_plugin_mean,0.31778010103579263,0.31778010103579263,0.3410240913946273,3.973529060433214,0,0.9318406208084076,0.07997427380111992
1,14,exact_value_eb,0.41744412578644996,0.41744412578644996,0.3410240913946273,3.973529060433214,1,1.2240898409238503,0.1050562659634703
1,15,jensen_eb,0.45800574164004665,0.45800574164004665,0.3410240913946273,3.973529060433214,1,1.3430304579568548,0.11526422348352287
1,15,jensen_hoeffding,0.9059570436578555,0.9059570436578555,0.3410240913946273,3.973529060433214,1,2.6565778386885204,0.22799809184208747
1,15,raw_plugin_mean,0.35576047232968,0.35576047232968,0.3410240913946273,3.973529060433214,1,1.043212140452564,0.08953262123390465
1,15,exact_value_eb,0.4575276804145356,0.4575276804145356,0.3410240913946273,3.973529060433214,1,1.3416286179180588,0.11514391198756041
1,16,jensen_eb,0.42687576176749736,0.42687576176749736,0.3410240913946273,3.973529060433214,1,1.251746643534119,0.1074298829265281
1,16,jensen_hoeffding,0.8764748876598989,0.8764748876598989,0.3410240913946273,3.973529060433214,1,2.570126010967527,0.2205784516306875
1,16,raw_plugin_mean,0.3262783163317234,0.3262783163317234,0.3410240913946273,3.973529060433214,0,0.9567603127315707,0.08211298102250468
1,16,exact_value_eb,0.4262637250783019,0.4262637250783019,0.3410240913946273,3.973529060433214,1,1.2499519413279125,0.10727585443450324
1,17,jensen_eb,0.4459106571588696,0.4459106571588696,0.3410240913946273,3.973529060433214,1,1.3075635077137977,0.11222030854110683
1,17,jensen_hoeffding,0.8934766418475277,0.8934766418475277,0.3410240913946273,3.973529060433214,1,2.619981005428768,0.22485720583860946
1,17,raw_plugin_mean,0.3432800705193523,0.3432800705193523,0.3410240913946273,3.973529060433214,1,1.0066153071928117,0.08639173523042666
1,17,exact_value_eb,0.4450924327749189,0.4450924327749189,0.3410240913946273,3.973529060433214,1,1.3051641922267172,0.1120143897290115
1,18,jensen_eb,0.4366945929728108,0.4366945929728108,0.3410240913946273,3.973529060433214,1,1.2805388357958418,0.10990094355197699
1,18,jensen_hoeffding,0.885684056290245,0.885684056290245,0.3410240913946273,3.973529060433214,1,2.5971304627430163,0.22289608124664964
1,18,raw_plugin_mean,0.33548748496206954,0.33548748496206954,0.3410240913946273,3.973529060433214,0,0.9837647645070597,0.08443061063846681
1,18,exact_value_eb,0.4362170087436226,0.4362170087436226,0.3410240913946273,3.973529060433214,1,1.2791383944744235,0.10978075209951127
1,19,jensen_eb,0.4373356039750319,0.4373356039750319,0.3410240913946273,3.973529060433214,1,1.2824185006593993,0.11006226387768041
1,19,jensen_hoeffding,0.8863131680796066,0.8863131680796066,0.3410240913946273,3.973529060433214,1,2.598975235019335,0.22305440695153148
1,19,raw_plugin_mean,0.3361165967514312,0.3361165967514312,0.3410240913946273,3.973529060433214,0,0.9856095367833786,0.08458893634334867
1,19,exact_value_eb,0.4365389944116498,0.4365389944116498,0.3410240913946273,3.973529060433214,1,1.2800825672650038,0.10986178476924392
2,0,jensen_eb,0.5596430930554143,0.5596430930554143,0.4300726413907547,3.9205817301993684,1,1.3012757362236735,0.14274491174220602
2,0,jensen_hoeffding,0.9936392308928869,0.9936392308928869,0.4300726413907547,3.9205817301993684,1,2.310398605406959,0.25344178473288925
2,0,raw_plugin_mean,0.45077403656298765,0.45077403656298765,0.4300726413907547,3.9205817301993684,1,1.0481346479173599,0.11497631412470644
2,0,exact_value_eb,0.5592657070583454,0.5592657070583454,0.4300726413907547,3.9205817301993684,1,1.3003982426080638,0.14264865408886804
2,1,jensen_eb,0.5289665630834247,0.5289665630834247,0.4300726413907547,3.9205817301993684,1,1.2299470186545,0.13492042749904
2,1,jensen_hoeffding,0.964868634409844,0.964868634409844,0.4300726413907547,3.9205817301993684,1,2.243501542645642,0.2461034358696506
2,1,raw_plugin_mean,0.42200344007994484,0.42200344007994484,0.4300726413907547,3.9205817301993684,0,0.9812375851560426,0.10763796526146778
2,1,exact_value_eb,0.5284738239799556,0.5284738239799556,0.4300726413907547,3.9205817301993684,1,1.2288013073117006,0.13479474739915237
2,2,jensen_eb,0.5627221424593433,0.5627221424593433,0.4300726413907547,3.9205817301993684,1,1.3084351067755229,0.14353026698176444
2,2,jensen_hoeffding,0.9968031396819114,0.9968031396819114,0.4300726413907547,3.9205817301993684,1,2.3177552900330567,0.2542487845626986
2,2,raw_plugin_mean,0.45393794535201215,0.45393794535201215,0.4300726413907547,3.9205817301993684,1,1.0554913325434574,0.11578331395451578
2,2,exact_value_eb,0.5621695714900725,0.5621695714900725,0.4300726413907547,3.9205817301993684,1,1.3071502750608528,0.1433893259155409
2,3,jensen_eb,0.5309452510998743,0.5309452510998743,0.4300726413907547,3.9205817301993684,1,1.2345478414598081,0.1354251199535317
2,3,jensen_hoeffding,0.9670754228159506,0.9670754228159506,0.4300726413907547,3.9205817301993684,1,2.2486327418750798,0.24666630856507438
2,3,raw_plugin_mean,0.42421022848605144,0.42421022848605144,0.4300726413907547,3.9205817301993684,0,0.9863687843854806,0.10820083795689157
2,3,exact_value_eb,0.5302836854278129,0.5302836854278129,0.4300726413907547,3.9205817301993684,1,1.2330095765054923,0.1352563782418195
2,4,jensen_eb,0.5500241484627133,0.5500241484627133,0.4300726413907547,3.9205817301993684,1,1.2789098759783077,0.14029146343921356
2,4,jensen_hoeffding,0.9849955952106311,0.9849955952106311,0.4300726413907547,3.9205817301993684,1,2.2903005223149857,0.25123710280630784
2,4,raw_plugin_mean,0.44213040088073186,0.44213040088073186,0.4300726413907547,3.9205817301993684,1,1.0280365648253866,0.11277163219812504
2,4,exact_value_eb,0.5492368353506151,0.5492368353506151,0.4300726413907547,3.9205817301993684,1,1.277079224510797,0.14009064805867097
2,5,jensen_eb,0.5729505215567532,0.5729505215567532,0.4300726413907547,3.9205817301993684,1,1.3322180171795275,0.14613916020253903
2,5,jensen_hoeffding,1.0066811823093649,1.0066811823093649,0.4300726413907547,3.9205817301993684,1,2.340723602073344,0.25676831949583495
2,5,raw_plugin_mean,0.46381598797946555,0.46381598797946555,0.4300726413907547,3.9205817301993684,1,1.0784596445837447,0.11830284888765212
2,5,exact_value_eb,0.5725162566972621,0.5725162566972621,0.4300726413907547,3.9205817301993684,1,1.3312082694818206,0.14602839478827767
2,6,jensen_eb,0.5296575028964636,0.5296575028964636,0.4300726413907547,3.9205817301993684,1,1.2315535840263512,0.13509666150220254
