eta,game,true_loss,cert_failure_only,cert_success_inclusive,viol_failure_only,viol_success_inclusive
0.0,256,0.2926982096868124,0.2964916837406134,0.29649168374061335,0,0
0.0,257,0.3928668495622637,0.39639007702073636,0.39639007702073636,0,0
0.0,258,0.29609317191002077,0.303823960313193,0.303823960313193,0,0
0.0,259,0.4050292993870298,0.41367903478182544,0.41367903478182544,0,0
0.0,260,0.38775253925060654,0.3980972693143016,0.3980972693143016,0,0
0.0,261,0.5172825610296953,0.5328761258994762,0.5328761258994762,0,0
0.0,262,0.4939174587504929,0.5045333514074298,0.5045333514074298,0,0
0.0,263,0.4607374172146011,0.47195987116521027,0.47195987116521027,0,0
0.0,264,0.5117640659095469,0.5201928774575995,0.5201928774575995,0,0
0.0,265,0.44201592118690836,0.45324192374046873,0.45324192374046873,0,0
0.0,266,0.3725522135520324,0.3799504534979422,0.3799504534979422,0,0
0.0,267,0.42476178363504685,0.4308785431667168,0.4308785431667168,0,0
0.0,268,0.4197908392248754,0.42866944877160995,0.42866944877161,0,0
0.0,269,0.36780630299902634,0.37567291834522726,0.3756729183452272,0,0
0.0,270,0.4525568326566905,0.47212570695576855,0.47212570695576855,0,0
0.0,271,0.4289757150839284,0.43578526230933995,0.43578526230933995,0,0
0.0,272,0.3506880957924588,0.3550674166722225,0.3550674166722225,0,0
0.0,273,0.4101264345317862,0.4184429114406638,0.4184429114406638,0,0
0.0,274,0.38740059502130153,0.3969961294330577,0.3969961294330576,0,0
0.0,275,0.521563392940626,0.5299654818854221,0.5299654818854221,0,0
0.0,276,0.5124692467785189,0.5262715729579033,0.5262715729579033,0,0
0.0,277,0.39653709168544693,0.40293993013143214,0.4029399301314321,0,0
0.0,278,0.4213223450018104,0.4272793083051537,0.4272793083051537,0,0
0.0,279,0.40511508075424923,0.4116489390872893,0.4116489390872893,0,0
0.0,280,0.4329675230319653,0.44315683452154064,0.4431568345215407,0,0
0.0,281,0.35227650509441805,0.35841994052384896,0.35841994052384896,0,0
0.0,282,0.28657862737255096,0.2927509072355703,0.2927509072355703,0,0
0.0,283,0.49209057180926524,0.5017332147406798,0.5017332147406798,0,0
0.0,284,0.48766747571567265,0.49863452346887455,0.49863452346887455,0,0
0.0,285,0.5566327644595946,0.5682375461824442,0.5682375461824442,0,0
0.0,286,0.3748864837050032,0.38163738268728115,0.38163738268728115,0,0
0.0,287,0.38581520029466687,0.4032591846582464,0.4032591846582464,0,0
0.0,288,0.34101495581608865,0.34557882055892014,0.34557882055892014,0,0
0.0,289,0.4488038810964975,0.4583500893931671,0.4583500893931671,0,0
0.0,290,0.31150717613809853,0.3175996072616872,0.3175996072616872,0,0
0.0,291,0.46281502501150124,0.47044078887947666,0.47044078887947666,0,0
0.0,292,0.491637575022024,0.5046898768774429,0.5046898768774429,0,0
0.0,293,0.4012106765514848,0.4115894869416089,0.4115894869416089,0,0
0.0,294,0.4347688745676141,0.44460651438132504,0.44460651438132504,0,0
0.0,295,0.6503428856310665,0.6669863418436591,0.6669863418436591,0,0
0.0,296,0.5302831750786223,0.5431975323124388,0.543197532312439,0,0
0.0,297,0.4462520667611978,0.45506263429669375,0.45506263429669375,0,0
0.0,298,0.415588913014129,0.4217973863539042,0.4217973863539041,0,0
0.0,299,0.4404868866514221,0.4489729019859508,0.4489729019859508,0,0
0.1,0,0.5921807972588384,0.5049808017080272,0.6106260626684527,1,0
0.1,1,0.4923022735622639,0.415317201699872,0.49958669191863214,1,0
0.1,2,0.6050690724785142,0.5507284751797448,0.6119934599335036,1,0
0.1,3,0.39789189192998137,0.3457452205663624,0.40654122544614,1,0
0.1,4,0.5291312333162624,0.4261063100326448,0.5391715449933278,1,0
0.1,5,0.5132094051771695,0.38981960058262694,0.5250987055031306,1,0
0.1,6,0.5708494302190402,0.5020531277838509,0.5894548903483476,1,0
0.1,7,0.4852299956666272,0.38550664328193984,0.49695209729311,1,0
0.1,8,0.6380728586615857,0.5335200892164691,0.6492427984980456,1,0
0.1,9,0.4443059646080745,0.3945444299259012,0.4535558088582887,1,0
0.1,10,0.5521891019590046,0.4452793523281019,0.5602354914183073,1,0
0.1,11,0.5062018978014187,0.44064808291812896,0.5210482314330971,1,0
0.1,12,0.636677862913507,0.49414975440960535,0.6499376411511412,1,0
0.1,13,0.6599288241878429,0.4879188613622144,0.6708274680834857,1,0
0.1,14,0.4955200191990958,0.4385599903126537,0.5043824672680617,1,0
0.1,15,0.4705014624671487,0.4040245890527356,0.47602091259152446,1,0
0.1,16,0.5022283660517549,0.45855505471500013,0.509074159253339,1,0
0.1,17,0.6172972505392642,0.5406582391258795,0.6355519159214619,1,0
0.1,18,0.5184745216460654,0.46856510578785715,0.5263992790901733,1,0
0.1,19,0.5182629279559836,0.43772147109373694,0.5264520861581602,1,0
0.1,20,0.550510109049118,0.3765114558838275,0.5610498516099751,1,0
0.1,21,0.6601183235013269,0.5671222969205759,0.6680903693068085,1,0
