m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,K,repeat
301,0.5141801331235283,0.5141801331235283,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.30591422651700606,1.6540093749712932,0.12878302478262732,0.9588582841966752,1.5970431941365322,0,200,13
284,0.536372158742437,0.536372158742437,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3233261290257624,1.7253964552155232,0.13434130290569518,1.013434193118053,1.5970431941365322,0,200,14
242,0.46152067602378133,0.46152067602378133,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.25715874725810556,1.4846149738403667,0.11559378674746744,0.8060389932482136,1.5970431941365322,0,200,15
252,0.4867013869903879,0.4867013869903879,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.279868850000821,1.565616026436858,0.1219006195392307,0.8772215936710148,1.5970431941365322,0,200,16
259,0.49337435374530064,0.49337435374530064,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.2842283017684616,1.5870815574064214,0.12357194985250268,0.8908858697314995,1.5970431941365322,0,200,17
281,0.5005882871234238,0.5005882871234238,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.29214628642311186,1.6102872642573465,0.12537877221137408,0.9157040197949831,1.5970431941365322,0,200,18
287,0.5190388534772608,0.5190388534772608,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.31043058191662387,1.6696388567379616,0.12999995376027076,0.9730143593769812,1.5970431941365322,0,200,19
259,0.5071677557390659,0.5071677557390659,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.2979958162742512,1.6314520313721173,0.12702668471362782,0.9340388001688174,1.1292800724217658,0,400,0
272,0.5374182070006785,0.5374182070006785,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3244820636310296,1.7287613725165738,0.13460329914025715,1.0170573573130286,1.1292800724217658,0,400,1
279,0.5449274194150161,0.5449274194150161,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.33076764643052897,1.7529169299406122,0.1364840779299373,1.03675890309246,1.1292800724217658,0,400,2
