game,eta,V_naive,V_wrapper,rel_gap
13,0.2,3.458463351486911,3.1874065594324468,0.07837492100633449
13,0.3,3.458463351486911,2.7445713858426317,0.20641883197372446
14,0.0,3.2463063587905965,3.2463063587905965,0.0
14,0.1,3.2463063587905965,3.1822832318371326,0.019721837638759926
14,0.2,3.2463063587905965,3.052315648262855,0.059757363916896254
14,0.3,3.2463063587905965,2.7446082057106573,0.15454430280951711
15,0.0,3.2506813929891374,3.2506813929891374,0.0
15,0.1,3.2506813929891374,3.2250967085235045,0.00787056046555093
15,0.2,3.2506813929891374,3.006363251284394,0.07515905500813277
15,0.3,3.2506813929891374,2.755413489763389,0.15235818070068405
16,0.0,3.411000286253141,3.411000286253141,0.0
16,0.1,3.411000286253141,3.3529581011284173,0.017016177143586383
16,0.2,3.411000286253141,3.086273710006594,0.09519980911759097
16,0.3,3.411000286253141,2.6069012619806538,0.23573701452837562
17,0.0,3.094025800937496,3.094025800937496,0.0
17,0.1,3.094025800937496,3.0535151673605774,0.01309317897463905
17,0.2,3.094025800937496,2.9123181816544887,0.058728540392010004
17,0.3,3.094025800937496,2.485915471563715,0.1965433930748021
18,0.0,3.184622450088603,3.184622450088603,0.0
18,0.1,3.184622450088603,3.1261230200658394,0.01836934547854065
18,0.2,3.184622450088603,2.9976311508077065,0.058716944363994224
18,0.3,3.184622450088603,2.658824616472747,0.16510523356893428
19,0.0,3.362217738061142,3.362217738061142,0.0
19,0.1,3.362217738061142,3.3019625730005204,0.01792125606875398
19,0.2,3.362217738061142,3.0818915594963565,0.08337537908626445
19,0.3,3.362217738061142,2.621111373150831,0.22042188294362397
20,0.0,3.1742972965692187,3.1742972965692187,0.0
20,0.1,3.1742972965692187,3.1327993003623003,0.013073128417648947
20,0.2,3.1742972965692187,3.0083978505273725,0.05226336114417731
20,0.3,3.1742972965692187,2.7326240781458515,0.13914047016377049
21,0.0,3.321762948318676,3.321762948318676,0.0
21,0.1,3.321762948318676,3.2565015238990904,0.019646623017747677
21,0.2,3.321762948318676,3.1030556242176526,0.06584073801710698
21,0.3,3.321762948318676,2.7481417696826442,0.1726857657779845
22,0.0,3.4095379781675543,3.4095379781675543,0.0
22,0.1,3.4095379781675543,3.3178637924266545,0.02688756843332839
22,0.2,3.4095379781675543,3.2599893893035277,0.043861834001491094
22,0.3,3.4095379781675543,2.8651383124580807,0.15966962944416002
23,0.0,3.198136637146589,3.198136637146589,0.0
23,0.1,3.198136637146589,3.169535996601692,0.008942907630573272
23,0.2,3.198136637146589,2.9257471643460864,0.08517130555070973
23,0.3,3.198136637146589,2.639688988038089,0.17461656967606493
24,0.0,3.0598641217630838,3.0598641217630838,0.0
24,0.1,3.0598641217630838,3.012706159160416,0.015411783239604654
24,0.2,3.0598641217630838,2.711038554174848,0.11400034563405488
24,0.3,3.0598641217630838,2.5753121400836245,0.15835735256175512
25,0.0,3.220639443494499,3.220639443494499,0.0
25,0.1,3.220639443494499,3.1499485059744496,0.021949348487578037
25,0.2,3.220639443494499,2.854333117125411,0.11373714216761144
25,0.3,3.220639443494499,2.6546890159841783,0.17572610572033484
26,0.0,3.3280146322269735,3.3280146322269735,0.0
26,0.1,3.3280146322269735,3.2801756982308587,0.014374616481096482
26,0.2,3.3280146322269735,3.1928312257000826,0.04061983537488588
26,0.3,3.3280146322269735,2.9448419050224537,0.11513552956736266
27,0.0,3.2848385692555584,3.2848385692555584,0.0
27,0.1,3.2848385692555584,3.189156227215675,0.029128476177275143
27,0.2,3.2848385692555584,2.9154081962091216,0.11246530541611831
27,0.3,3.2848385692555584,2.6066200744521537,0.20646935315017312
28,0.0,3.341138487935772,3.341138487935772,0.0
28,0.1,3.341138487935772,3.2266914299313143,0.03425391027143919
28,0.2,3.341138487935772,3.0566254677699702,0.08515451278298426
28,0.3,3.341138487935772,2.933161675095261,0.12210712432050694
29,0.0,3.360822633972474,3.360822633972474,0.0
29,0.1,3.360822633972474,3.290824438303194,0.02082769704681342
29,0.2,3.360822633972474,3.1824006768488053,0.053088775131130896
29,0.3,3.360822633972474,2.7351097515767306,0.1861784897199337
30,0.0,3.366069401470999,3.366069401470999,0.0
