game,true_loss,C0,Cstar,Ctilde,delta_r,r_C0,r_Cstar,r_Ctilde,slack_Ctilde,true_over_range,usable
68,0.3995470438791022,3.60965419485987,0.8186800438504294,0.4043227336497113,0.9944267463050483,9.034365915499315,2.0490204004566515,1.0119527596155964,0.011952759615596381,0.10044657521624473,True
69,0.21245904801407908,2.3844624934147984,0.48280768103111027,0.2174528587131586,0.9904450905893428,11.223162843395526,2.272474086390126,1.0235048153785786,0.023504815378578642,0.05362716470421897,True
70,0.3508294586540387,2.7666585630134195,0.6990668962580225,0.3552249074491269,0.9957993327321162,7.886049745160333,1.9926117348868047,1.0125287335104394,0.01252873351043945,0.08807734829754517,True
71,0.35010241618724947,2.3672464170484724,0.6883057008764656,0.35685340315932756,0.9958560459895293,6.761582632958379,1.9660124267989365,1.0192828916909484,0.01928289169094848,0.08788981539981798,True
72,0.32683841473185304,2.8775769579111588,0.6911750351583805,0.3304947212496279,0.9850685424951554,8.804280121943437,2.1147301051666125,1.0111868934402175,0.01118689344021757,0.08294814031518534,True
73,0.4432079938266965,3.6905247060341213,0.9042482952977914,0.4496446417970775,0.9957914030493167,8.326845989779672,2.040234625486857,1.0145228607336398,0.014522860733639831,0.11127029026096809,True
74,0.3447148023469335,3.3021418371590094,0.6666706336938946,0.3501248566332901,0.97698786727269,9.57934447455382,1.9339773898741168,1.0156942906121906,0.01569429061219056,0.08820856785796684,True
75,0.428505126118652,2.808416244219355,0.8038605203344626,0.43239461330092893,0.9936494430069814,6.553985175527893,1.8759647699334072,1.0090768743363876,0.009076874336387639,0.10781094105530568,True
76,0.4215353017805756,3.39927523739979,0.7902799478071205,0.42376670417923795,0.9918946994954235,8.064034549517364,1.8747657538264493,1.0052935125225262,0.005293512522526287,0.10624497287741592,True
77,0.3404813608636811,2.7018976758756175,0.6690439030781755,0.3468591795838457,0.9967798532580032,7.935523016654587,1.9649942110811798,1.0187317705262524,0.01873177052625246,0.08539532569574117,True
78,0.4943084899485436,3.8871452212208926,0.9758702988207542,0.4991862957538469,0.9411268902422018,7.863804284699896,1.974213105104345,1.0098679385535358,0.009867938553535769,0.13130760981160888,True
79,0.4270308093078073,4.135531057952698,0.9193433150986864,0.43394553313068945,0.9955078077009103,9.684385687899567,2.1528735048154717,1.0161925642650715,0.016192564265071503,0.1072394425248205,True
80,0.282111060122523,2.80072298517747,0.5820041511723671,0.28696104489822405,0.9759636737875177,9.927731950534284,2.063032023344275,1.0171917569399607,0.01719175693996062,0.0722647439908565,True
81,0.318961406903116,2.435354333340745,0.6361975925639689,0.32011666970136193,0.9784137919402862,7.635263328520745,1.9945911285662623,1.003621951663252,0.003621951663252065,0.08149961946841162,True
82,0.4301018792209278,3.8578834449176487,0.9168173201382611,0.4374461942838033,0.9826522332075521,8.96969678882987,2.1316282593299833,1.017075756739726,0.01707575673972589,0.10942372710460306,True
83,0.319411769363761,2.8712720885444853,0.7045191367405166,0.32471439622530834,0.9796100516002612,8.989249501556554,2.2056768231923773,1.0166012256596233,0.016601225659623357,0.08151502958804364,True
84,0.2890021921298381,2.8519905411788824,0.6183025330679811,0.2927745428903153,0.9931826860360041,9.868404527179461,2.139438903599044,1.0130530178081918,0.013053017808191703,0.07274648365128704,True
85,0.3698462046964233,3.5501813711549977,0.805252695459633,0.37490465323581373,0.9504195274951872,9.599074766953612,2.17726364427776,1.0136771676311847,0.013677167631184654,0.09728498678661045,True
86,0.31583095325613053,2.6559921293494164,0.6419126612320682,0.32051462159395694,0.9754275593452677,8.409537133605385,2.03245646005917,1.0148296684968305,0.01482966849683057,0.080946798721815,True
87,0.2504913991719465,2.4228326742145785,0.5139784469419801,0.25440828407343513,0.9819801890159258,9.67231881902443,2.0518806180214053,1.0156368039558912,0.0156368039558912,0.06377200934750325,True
88,0.4638831702291556,3.706514859041123,0.9560071135893942,0.4736574058829899,0.9896128371462818,7.990190411974045,2.0608790638322407,1.0210704683444451,0.02107046834444515,0.11718804385330181,True
89,0.27146297724893576,2.398953110119131,0.5890589648245365,0.2736016342499547,0.9871941478436899,8.837128121229046,2.1699421806766686,1.0078782640000952,0.007878264000095192,0.06874609666241625,True
90,0.31753546323642173,2.6069356620787354,0.6127248563802575,0.32059225913090383,0.9878938386331717,8.209903975789109,1.929626537254051,1.0096266283561726,0.009626628356172477,0.08035667670418839,True
91,0.23532872500234264,2.5776282349706325,0.533531782696776,0.23808712096701565,0.9721411901199816,10.953308972140876,2.267176617267887,1.011721458842925,0.011721458842925128,0.06051814473916551,True
92,0.38797792393282615,3.2941169894893263,0.8348402343773238,0.39205647005997557,0.9958482503027046,8.49047532420856,2.1517725181752008,1.0105123149425779,0.010512314942577946,0.09739885665684853,True
93,0.3377475791769837,3.266983691770832,0.6906663290530364,0.3445938535851542,0.995585243693858,9.672855982363366,2.044918665993218,1.0202703877992356,0.020270387799235578,0.08481131608677221,True
94,0.4557969686964414,3.533843433603541,0.9132109647143568,0.46393807116027036,0.9866851871836012,7.7531086784323575,2.0035476921360376,1.0178612474916455,0.01786124749164561,0.11548692901670855,True
95,0.4179041987824912,3.6731202775831755,0.8626455921640448,0.42469916660883317,0.9728644054465543,8.78938351967826,2.064218533044772,1.0162596304275913,0.016259630427591355,0.10739014513298722,True
96,0.2966651520551654,2.388026258905456,0.6465372168522246,0.3019771121276487,0.9884185464170273,8.049567811932958,2.179350059733338,1.0179055748060881,0.017905574806088224,0.07503530592646283,True
97,0.3271161365671368,3.402270823719442,0.720352365601664,0.3345162811417848,0.9922053536493735,10.400804006259,2.202130329494828,1.0226223770319236,0.022622377031923643,0.08242148043345808,True
98,0.39258531971720767,3.2876274242557906,0.7560634586985144,0.3962020556501344,0.988080416150905,8.374300461932654,1.925857694432212,1.009212611249784,0.009212611249783802,0.09933030583850017,True
