m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,m,repeat
89,1.142724661992801,1.142724661992801,0.3640601434723735,3.994253428199673,0.36709941702578985,1,0.4287268718941844,3.138834839467991,0.2860921778085224,1.1678767440376105,1.1297454739430415,3,500,18
63,0.9672253708068932,0.9672253708068932,0.3640601434723735,3.994253428199673,0.36709941702578985,1,0.28220817778928126,2.65677358027051,0.24215423187177434,0.7687513646186348,1.1297454739430415,3,500,19
79,1.0680561284765298,1.0680561284765298,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.36415050197140175,2.6743278219392472,0.2719856274538704,0.8898844124997352,1.110690646713226,4,500,0
74,1.1331834791422666,1.1331834791422666,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.4223688324075469,2.8374015417661362,0.28857062037975284,1.0321541182846063,1.110690646713226,4,500,1
74,1.0874205287012755,1.0874205287012755,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.37428241295125153,2.7228147440170902,0.27691686505924595,0.9146440368885307,1.110690646713226,4,500,2
81,1.0871412930591045,1.0871412930591045,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.383288496603929,2.722115560119517,0.2768457563606313,0.9366524466443842,1.110690646713226,4,500,3
90,1.1593250450419914,1.1593250450419914,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.4413168636769895,2.902857949094104,0.2952276958033125,1.0784579338305171,1.110690646713226,4,500,4
83,1.168543168184219,1.168543168184219,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.4461005289558124,2.9259393982127806,0.2975751351746516,1.0901479058151637,1.110690646713226,4,500,5
73,1.0306494414840448,1.0306494414840448,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.3391308294636816,2.580664445002991,0.2624598347905823,0.8287431633460629,1.110690646713226,4,500,6
69,0.9979833804729384,0.9979833804729384,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.31243283374361663,2.498871219473003,0.2541412653224915,0.7635005504493318,1.110690646713226,4,500,7
90,1.1551846851599483,1.1551846851599483,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.4379544694948978,2.892490816384344,0.29417333325589784,1.0702411603944662,1.110690646713226,4,500,8
76,0.998799081492012,0.998799081492012,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.3162190943449503,2.500913670119117,0.25434898750821966,0.7727531376970445,1.110690646713226,4,500,9
81,1.0409237362788575,1.0409237362788575,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.34579344808500095,2.606390464158713,0.26507623335045877,0.8450247843391548,1.110690646713226,4,500,10
91,1.0511105521744444,1.0511105521744444,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.35597291749477755,2.6318974430900544,0.26767035498812053,0.8699006285470793,1.110690646713226,4,500,11
83,1.1828283989447999,1.1828283989447999,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.46066802261783546,2.961708482858488,0.30121293785949926,1.12574688335012,1.110690646713226,4,500,12
93,1.108578242318302,1.108578242318302,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.40269728769966845,2.7757919805742604,0.28230477854074487,0.9840822334167737,1.110690646713226,4,500,13
73,0.9453030841351491,0.9453030841351491,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.2745428405355343,2.3669639363182204,0.24072597461644288,0.670907751145045,1.110690646713226,4,500,14
89,1.18325451658407,1.18325451658407,0.39937367427978426,3.9268844404569703,0.4092110130893096,1,0.4639166281707809,2.962775447625354,0.3013214507647633,1.1336855884412178,1.110690646713226,4,500,15
