game,true_loss,adavote,naive_marginal,unweighted,worst_prefix,plugin_alpha,no_logging,viol_adavote,viol_naive_marginal,viol_unweighted,viol_worst_prefix,viol_plugin_alpha,viol_no_logging
76,0.44208288293743325,0.44998761863780584,0.4678662337644576,0.27910812003727126,0.5696598353754462,0.4182350603525492,0.9261203869348246,0,0,1,0,1,0
77,0.48416471639490793,0.4928803177963904,0.5409294757822385,0.2840924630999316,0.5745756120214709,0.5430538675062501,0.9969781750765685,0,0,1,0,0,0
78,0.3908845123825627,0.39722819578740926,0.4172850948283745,0.24971239072205498,0.4461768021726281,0.3805174600257474,0.801992061336019,0,0,1,0,1,0
79,0.4495586039075363,0.46133369100666255,0.474649051074069,0.2867709413169502,0.5433765175406677,0.49912649801874176,0.8732164251128048,0,0,1,0,0,0
80,0.44354052686076095,0.4516412566811179,0.4588918745782761,0.29477578756290973,0.508895480485168,0.5073790176575709,0.9026993953778192,0,0,1,0,0,0
81,0.39692040569957215,0.4089326474115767,0.41056057901035,0.2850456256588839,0.49558356062694,0.45231338079801225,0.8388751739307825,0,0,1,0,0,0
82,0.3805064142963276,0.38590973322096295,0.41209920722178733,0.24924179624020015,0.5017634849547504,0.46920803089956453,0.7803560528407223,0,0,1,0,0,0
83,0.3542860277001036,0.361441899799143,0.37236303765848555,0.229440080413024,0.4471032705011267,0.49042387332737647,0.7070178616667229,0,0,1,0,0,0
84,0.4839287464341483,0.4972865335877102,0.5180538255496239,0.274759817222242,0.6078060007137753,0.4936342225416313,0.9196774990209355,0,0,1,0,0,0
85,0.29409978300928435,0.3012267287763316,0.3022214454225632,0.24758158520645304,0.450534960105088,0.3710402684606326,0.675188236474886,0,0,1,0,0,0
86,0.44487262950885154,0.45419040519869824,0.47908123130167557,0.26260240586653666,0.5414154507597551,0.5769805798535595,0.9824050161032419,0,0,1,0,0,0
87,0.4197484830378413,0.4268249859119191,0.43423199372369553,0.27616993541210516,0.5334724312139373,0.4235918797498392,0.9190714767938815,0,0,1,0,0,0
88,0.4254673913960796,0.434393660377086,0.4471011700280098,0.259081193454385,0.4793811742642931,0.5111182744782043,0.890246558291603,0,0,1,0,0,0
89,0.3506277650173834,0.36117069503697435,0.3887369817875854,0.20787904601541737,0.4446941151913428,0.43889604580867986,0.6601334419868613,0,0,1,0,0,0
90,0.39791511934226087,0.40673905817054673,0.41893810720302216,0.24798277384891743,0.4742141337067558,0.42497294670954766,0.8042601621566795,0,0,1,0,0,0
91,0.4040811406413941,0.41005268685464585,0.4169498523040759,0.2625922146360838,0.5278510616551246,0.42349485127530573,0.8256954296128741,0,0,1,0,0,0
92,0.5139525281486431,0.5301436212428913,0.5906863852030066,0.2674826459585035,0.6262646639568381,0.6713621528986484,0.9888043252506423,0,0,1,0,0,0
93,0.5169502784251746,0.5233295231187886,0.5436757915873909,0.29794242728422876,0.5596826287569062,0.5793575805647017,1.170513869282184,0,0,1,0,0,0
94,0.5451028395724502,0.563108094344863,0.5914156024468896,0.31674439450634756,0.6574963067502565,0.5772318432942751,1.095138012549814,0,0,1,0,0,0
95,0.5269333859461072,0.5317727058766633,0.561180504356557,0.2567440250008204,0.6065185223931777,0.49639779012205915,1.0327999506845846,0,0,1,0,1,0
96,0.4874891558401727,0.4958548641676601,0.5244029394810789,0.3002540186966778,0.5522459527052375,0.5226349175949252,0.9860777614264828,0,0,1,0,0,0
97,0.4568726541013632,0.46672487076124913,0.4789443725839464,0.2738200916246421,0.5315892769978084,0.5555704586849899,0.9142092912588893,0,0,1,0,0,0
98,0.32015691148088266,0.3252998460704382,0.34276068251559766,0.24194771168481624,0.4116465894703516,0.3710849818099847,0.6844460573981026,0,0,1,0,0,0
99,0.2970214204436774,0.30576562182213024,0.30085253964560027,0.21497279518933532,0.39272402053335514,0.3261155384047898,0.6171646298854486,0,0,1,0,0,0
100,0.42374511641501567,0.42831114871390724,0.4619200510705801,0.25643557221025776,0.4945787637473095,0.40259314172065075,0.8856443334499802,0,0,1,0,1,0
101,0.46588890798331356,0.481527928172947,0.5186193825550571,0.2616960976384669,0.552317707415565,0.3939661192555357,1.0123120809903445,0,0,1,0,1,0
102,0.37789151415442657,0.38529366636092094,0.3843579729849911,0.2631032057789296,0.44171664489021756,0.4642187109055098,0.767148685322574,0,0,1,0,0,0
103,0.43774739101110427,0.4551873268044752,0.457860409693523,0.29652965716781116,0.5226643035087554,0.5299056499864676,0.8874411731009857,0,0,1,0,0,0
104,0.4988674314365422,0.5046907240101729,0.5099321820962911,0.29354714200394255,0.5705769554096933,0.6148907098108366,0.9844788444063904,0,0,1,0,0,0
105,0.34351271785428017,0.35276139498457004,0.3628864923827112,0.2529060405338448,0.43850998512376327,0.4113600061991271,0.7278151172191423,0,0,1,0,0,0
106,0.499300988568391,0.5125008219646817,0.5229391594596673,0.30681472486190925,0.5746960393139473,0.5790646937826792,1.0045817915401678,0,0,1,0,0,0
107,0.4415185161224323,0.45246690822516233,0.4655219452322679,0.2586218529833499,0.5218124540407851,0.43908933129165173,0.9594602946426485,0,0,1,0,1,0
108,0.3480273702208596,0.3533653730293998,0.3698853779931562,0.2513000128043205,0.3973379351216824,0.4045442530451609,0.7007901454765767,0,0,1,0,0,0
109,0.3888246538204227,0.40014365719611056,0.41326903570214185,0.24701147133764617,0.46331469988696367,0.6642646433286237,0.7942000004248041,0,0,1,0,0,0
110,0.505216003422172,0.5216047795383267,0.5614034154127515,0.2761246684244284,0.5872883264526222,0.5929061190490204,0.9660408152368228,0,0,1,0,0,0
111,0.40525594540987087,0.41545011718653596,0.41225597057689856,0.22823011498019727,0.4786188752288357,0.516898942814781,0.8234827825901653,0,0,1,0,0,0
112,0.29939481733227774,0.3050166746886881,0.30403052167933925,0.23306083355201002,0.462200312324393,0.5296388598246793,0.6739496273230644,0,0,1,0,0,0
113,0.35234410535912825,0.35995275639938595,0.36443051143392985,0.23531929863057666,0.44983430499889343,0.4904054171513386,0.7262000072388635,0,0,1,0,0,0
114,0.39987773812532346,0.40394319899788483,0.42282503973517316,0.2944666966178489,0.518616018740416,0.4150240783944604,0.8044046589501163,0,0,1,0,0,0
115,0.40661413530542995,0.41039691462763145,0.4287488932006341,0.3172341708835564,0.5782661728788071,0.4859748073095516,0.81368387973624,0,0,1,0,0,0
116,0.41104628249916947,0.42211360860718944,0.4344937292633588,0.2859566667812382,0.5397907656658922,0.49183236307340183,0.8135439092519324,0,0,1,0,0,0
117,0.5065842069739529,0.5181848551463071,0.5495799125088784,0.30495981142848005,0.5742636024493558,0.5588545467255546,1.1003043873828544,0,0,1,0,0,0
118,0.45706324309119317,0.4708725351637339,0.49699108297780137,0.25261629554277976,0.5333301319401219,0.4126354478725212,0.9599787338845491,0,0,1,0,1,0
119,0.38045001024983494,0.38480172761768977,0.3949679199330973,0.23115264314222783,0.45574871668034483,0.508021361526457,0.7842718920064876,0,0,1,0,0,0
120,0.4178920669838642,0.42551999703616267,0.43744076639269575,0.2588610997908427,0.5063562657901359,0.47953326567115995,0.864971755367858,0,0,1,0,0,0
121,0.6157492950717046,0.6398574537757032,0.6689020040751774,0.3277524736363961,0.7160250614119781,0.8389133853716365,1.1486660582663428,0,0,1,0,0,0
122,0.4523508037779723,0.4616673561672134,0.4696884147527634,0.3184738667638172,0.5874294097777043,0.5703555690495665,0.9053920031167525,0,0,1,0,0,0
123,0.43551954524265385,0.44388407079305536,0.465864107564791,0.2698061421341131,0.4971075285290374,0.4613104702878078,0.8339683641253631,0,0,1,0,0,0
124,0.47848822024686455,0.484761687787546,0.508349358864842,0.304311834299742,0.5482205934700775,0.4778384726848715,0.9312853303352876,0,0,1,0,1,0
125,0.3298936397872755,0.33544770595886153,0.34408132085350973,0.2275440277240097,0.46228156519680935,0.39755990065483193,0.7470848168614549,0,0,1,0,0,0
126,0.3841332930578736,0.39101552396873035,0.41185644947084876,0.24446560614166912,0.45038482901953986,0.4308638527109703,0.8662850500772525,0,0,1,0,0,0
127,0.45664780391621107,0.4666251706815523,0.48668841182385614,0.2691575488552937,0.5325095403342681,0.657174030046517,0.9888893083434138,0,0,1,0,0,0
128,0.4346317207810148,0.4436459124867995,0.45879020714967567,0.30743685076030147,0.5649448481452155,0.46344279553539525,0.9440432685231439,0,0,1,0,0,0
129,0.4944556481992952,0.5074291894323808,0.5270191361058874,0.2820277936538697,0.5894921688867066,0.7809930826452034,1.0093861026828757,0,0,1,0,0,0
130,0.4725800149275269,0.4794347097227459,0.4952962034124887,0.2560325793583465,0.5189597798408614,0.6832169912928997,0.9659207029674031,0,0,1,0,0,0
131,0.4571153145441315,0.4657432858035855,0.4981235977971742,0.26961102438679085,0.5297937222290575,0.5626943307818969,0.9879597865664287,0,0,1,0,0,0
132,0.38896437296344005,0.4033786750414311,0.4372445268463545,0.2637082185543462,0.5405049017038343,0.46463847496737787,0.8653886195951586,0,0,1,0,0,0
133,0.36473962532911935,0.373691813990996,0.3891896545854824,0.24588255723084057,0.4513449540746167,0.4906234108044384,0.7714129428030124,0,0,1,0,0,0
134,0.34869602132455035,0.3554088447420125,0.3554837811248709,0.2701559694324163,0.4824231348072791,0.37851275776491855,0.7748006827938839,0,0,1,0,0,0
135,0.4903168224972707,0.4968791733212066,0.5143020281836934,0.28508934962448834,0.5527482107125306,0.5264317162414571,0.9761331895411681,0,0,1,0,0,0
136,0.2731013154205913,0.2761440266564765,0.27575285464358534,0.17459955847260913,0.3085663207617387,0.4619534593562019,0.5392807257046814,0,0,1,0,0,0
137,0.483405845367492,0.4950355348784455,0.5097341402604217,0.3069160043186141,0.6390177959917357,0.5796917421165867,0.9846550681602084,0,0,1,0,0,0
138,0.40214016056633795,0.4097154471968708,0.4388569710089022,0.2189953678087847,0.46189650471310945,0.4001923496908128,0.9041987463895381,0,0,1,0,1,0
139,0.5291286662439791,0.5428481721157795,0.6197212009775483,0.26206478107893844,0.6409705738564302,0.6153949688552408,1.0598607551922337,0,0,1,0,0,0
140,0.4338546458487466,0.4406119411751752,0.45620386309306604,0.26515809547127106,0.49873908628278835,0.4679985168845504,0.7944290427054586,0,0,1,0,0,0
141,0.4963379914337944,0.5075572064993147,0.5358668530173133,0.2168430483229964,0.5507628032932187,0.4752181428598346,0.9466092886693404,0,0,1,0,1,0
142,0.4312106762551032,0.44164117499216643,0.47805372020632786,0.2730828403276072,0.5479602867572668,0.5102636191804572,0.8971315483499761,0,0,1,0,0,0
143,0.37751675126893947,0.3881947940533534,0.39441506201827575,0.2521879486446689,0.4804476563339388,0.43693167030425994,0.7423682849211902,0,0,1,0,0,0
144,0.4528315033791654,0.4614610056192959,0.4773514787199571,0.2963820332105904,0.504801926254694,0.5989040701162803,0.9662213017894042,0,0,1,0,0,0
145,0.49793350776234396,0.5078559261537537,0.5345575168882586,0.3196474660743862,0.588371820925466,0.619642067129758,1.022950150208177,0,0,1,0,0,0
146,0.4858268763219566,0.48996299442092145,0.5028999165038747,0.3059357747484108,0.5588251504136703,0.6313488919251379,0.910026419409449,0,0,1,0,0,0
147,0.45982296232467074,0.47424221327654664,0.478004674925587,0.26419642542402605,0.5298045326969405,0.5713274333378863,0.9093359166843253,0,0,1,0,0,0
148,0.41441992624845747,0.4245527327394285,0.43969479908481784,0.23719836472618946,0.4787699484065823,0.44214993803187685,0.8526697046981251,0,0,1,0,0,0
149,0.5188221166185756,0.5253230092899884,0.5446742734640291,0.3427373971054881,0.618746369636569,0.6456738741873809,0.9817614961014717,0,0,1,0,0,0
150,0.44661676116014337,0.456355527025309,0.4703893026877566,0.27808587545943714,0.5342506178458888,0.6119192980187499,0.8913495871922846,0,0,1,0,0,0
151,0.4627401012598779,0.47186523250602974,0.4999719309189827,0.3241999248153036,0.5180439704265417,0.5416758611884256,0.8983935550358233,0,0,1,0,0,0
152,0.2862640035957933,0.2924785986988437,0.30008674019927645,0.21525190572756353,0.3467352559435884,0.29708749733961454,0.5941132232431342,0,0,1,0,0,0
153,0.36736974664578614,0.37804848793218554,0.39307610663762815,0.2806201710771882,0.4910602786379767,0.45755390361779624,0.7729734234352901,0,0,1,0,0,0
154,0.4341103392507599,0.4438606655277966,0.45525721485212595,0.2708469371234635,0.5182306229251752,0.4389908617615458,0.8785109206574299,0,0,1,0,0,0
155,0.5670465725753078,0.5770882701646831,0.6293395124893765,0.2989702393697716,0.6261076229632362,0.5934431266051685,1.122660455231077,0,0,1,0,0,0
156,0.47538188957011107,0.48507019150108116,0.5335231888389624,0.28355868479292423,0.5638116930385144,0.5445948515479931,0.9890720256150123,0,0,1,0,0,0
157,0.495191036430083,0.5134927879781267,0.5444264610800513,0.2917070011192252,0.579945802410074,0.49879534877857185,1.0052159842507296,0,0,1,0,0,0
158,0.4244287480472143,0.4344228962923929,0.46610080864803927,0.23636430680749354,0.5800533963751308,0.3763131083036173,0.8117474387693042,0,0,1,0,1,0
159,0.4100270918509678,0.4173345244543156,0.45995604491031805,0.24836429989443234,0.49829459831095374,0.4442340056071745,0.8667623511484212,0,0,1,0,0,0
160,0.38144075325776555,0.3891242278315437,0.4117998574365728,0.21694382266339496,0.4306697649649979,0.3821976368132602,0.7694098932425711,0,0,1,0,0,0
161,0.43075032407332936,0.4446465620310979,0.4713523109861521,0.2619442583439954,0.5541547389523577,0.5481113671327481,0.9811062780142683,0,0,1,0,0,0
162,0.3820489297082673,0.38511130600990845,0.4040509262868196,0.2547173209749484,0.4583284868200581,0.3945664339633662,0.8147534978892682,0,0,1,0,0,0
163,0.33115597873606867,0.33495884729995923,0.33570200662070987,0.2547344835948346,0.4340516120724819,0.2757414591082922,0.7263872009723061,0,0,1,0,1,0
164,0.46951895336205357,0.4743884907924946,0.4934658417247448,0.32376211942475125,0.5712619023343799,0.42912877904001223,1.0490951123785426,0,0,1,0,1,0
165,0.4450047237794245,0.4552301514086837,0.4731744349416952,0.27226452848110233,0.5262988299937825,0.5512675523570774,0.9541137519789276,0,0,1,0,0,0
166,0.3521891509440205,0.36001370865379784,0.36235509479543976,0.26283804222263923,0.5213802323779446,0.4753045258330668,0.682009154297259,0,0,1,0,0,0
167,0.4378223678693292,0.44310859173067235,0.44375645953492726,0.27062562098645765,0.5242540065009476,0.43581124990988296,0.9372718708000235,0,0,1,0,1,0
168,0.36619193147099427,0.3785302321492203,0.39907913243321086,0.2442140814875093,0.44520193669817293,0.382284816658141,0.7808494783063417,0,0,1,0,0,0
169,0.4441241439365683,0.4493567919554529,0.4568488530382678,0.28350054127284013,0.5625343950511624,0.5563879330012941,0.8606896742129151,0,0,1,0,0,0
170,0.48608372297028285,0.4978165318887917,0.5270975810275391,0.27951785030612014,0.5571605068489449,0.625987278447069,1.033099849866435,0,0,1,0,0,0
171,0.40813882110037836,0.41587648032578045,0.43380445087186925,0.23660424392295806,0.44688101831105226,0.5372049933347561,0.8474262060799391,0,0,1,0,0,0
172,0.6217745071628111,0.6426616078643782,0.6987626492386093,0.3604611822144548,0.7066706004015795,0.7649613914371183,1.2268700174769058,0,0,1,0,0,0
173,0.47425639440888046,0.4910997986095161,0.49958592877368696,0.2651206391794894,0.5350421399686967,0.4310643531804973,0.9999297560564971,0,0,1,0,1,0
174,0.3698777067358785,0.3747690181404064,0.3746840665580181,0.24171851769521735,0.44275848063318946,0.4436083742954525,0.8216632826728953,0,0,1,0,0,0
175,0.39085145624500833,0.3980673201283188,0.4268052282768257,0.2782583708334591,0.49659247112521715,0.6017669608986114,0.7565361763558762,0,0,1,0,0,0
176,0.31094584295246447,0.31482526631178265,0.3185534914923374,0.21964459153432886,0.4153727061607046,0.36215418440948094,0.6518566377334667,0,0,1,0,0,0
177,0.5190806383587709,0.526692139527011,0.5981264353479089,0.3504138788319704,0.6257489726054801,0.5634969201527288,1.0681479301426555,0,0,1,0,0,0
178,0.4449615321597664,0.4526976115184227,0.47586020138955315,0.26846552713454325,0.5086128009641266,0.5143072558584334,0.856283502757561,0,0,1,0,0,0
179,0.6039524664642533,0.6201307395014525,0.6653381533178507,0.3092107581666831,0.7301289692106387,0.677594245123956,1.1689576856921347,0,0,1,0,0,0
180,0.29885534407275904,0.30322929219589867,0.2981610718601186,0.26290187975130047,0.5065035931432732,0.3375702454465465,0.6143983901401145,0,1,1,0,0,0
181,0.4437538668386899,0.4538724306065241,0.47779186387012623,0.2758703897609082,0.549104072741146,0.5495335759041334,0.9337067986823523,0,0,1,0,0,0
182,0.5542532183294263,0.5618976865083062,0.5890103948052806,0.3076613892438747,0.6471136014957684,0.5182850783059995,1.2264341075849348,0,0,1,0,1,0
183,0.2691101610206256,0.2774218070911203,0.28121500608440225,0.21343141027984602,0.3470370903545341,0.3896661284586745,0.5612328785018106,0,0,1,0,0,0
184,0.41762343522103235,0.42484906231805386,0.45217859597653864,0.2563584480834337,0.4701664750302294,0.3941231953102602,0.8106001205386455,0,0,1,0,1,0
185,0.4288557530118576,0.43794312913726735,0.4792961602485477,0.25709516662147325,0.5060380914577658,0.49969624980838034,0.8335259391981887,0,0,1,0,0,0
186,0.4337046975103235,0.43850837929158004,0.46276784822983436,0.2732043078267996,0.5212919683615737,0.5569069729412737,0.8576197438053618,0,0,1,0,0,0
187,0.31988398440766524,0.3237337785023694,0.332364589895826,0.2535235989561322,0.4785357481031418,0.3114871636090814,0.6853746052004657,0,0,1,0,1,0
188,0.33722973269684814,0.3447804191346154,0.3425925174373304,0.24657109810435843,0.4537172813365841,0.3731084152386989,0.683526538294763,0,0,1,0,0,0
189,0.41535978435781834,0.42259252032517625,0.4489455475687304,0.24487349100780598,0.5575401196807062,0.4822977194188713,0.8045065868748433,0,0,1,0,0,0
190,0.4271502417087388,0.4362387438072085,0.4576815829781082,0.2414999622863482,0.5781841646619769,0.42311578559072927,0.8397442659436537,0,0,1,0,1,0
191,0.3693379130888322,0.37710018788930516,0.3715494119459044,0.2783082655519329,0.435604484096926,0.47195803425105143,0.7459689878694804,0,0,1,0,0,0
192,0.4639480849935099,0.47420306000740087,0.4870633559177701,0.27447104415207424,0.5601525552012022,0.4219561645281062,0.9464675374466879,0,0,1,0,1,0
