alpha,N,g,expected_direction,actual_direction,iff_ok
0.525,17,0.41709173951430734,decreasing,decreasing,1
0.525,19,0.41255826498075376,decreasing,decreasing,1
0.525,21,0.4082622311758952,decreasing,decreasing,1
0.5499999999999999,1,0.45000000000000007,decreasing,decreasing,1
0.5499999999999999,3,0.42525000000000013,decreasing,decreasing,1
0.5499999999999999,5,0.40687312500000006,decreasing,decreasing,1
0.5499999999999999,7,0.3917122031250002,decreasing,decreasing,1
0.5499999999999999,9,0.37857905455078145,decreasing,decreasing,1
0.5499999999999999,11,0.36687741917115246,decreasing,decreasing,1
0.5499999999999999,13,0.3562581850641393,decreasing,decreasing,1
0.5499999999999999,15,0.34649607485290645,decreasing,decreasing,1
0.5499999999999999,17,0.337435616313106,decreasing,decreasing,1
0.5499999999999999,19,0.32896408757839257,decreasing,decreasing,1
0.5499999999999999,21,0.3209966148033946,decreasing,decreasing,1
0.575,1,0.42500000000000004,decreasing,decreasing,1
0.575,3,0.38834375,decreasing,decreasing,1
0.575,5,0.36147013671875017,decreasing,decreasing,1
0.575,7,0.33957933923339856,decreasing,decreasing,1
0.575,9,0.32085586650920883,decreasing,decreasing,1
0.575,11,0.304383891380103,decreasing,decreasing,1
0.575,13,0.2896243153321269,decreasing,decreasing,1
0.575,15,0.2762273644300087,decreasing,decreasing,1
0.575,17,0.2639503148923645,decreasing,decreasing,1
0.575,19,0.252616210965042,decreasing,decreasing,1
0.575,21,0.24209107870553226,decreasing,decreasing,1
0.6,1,0.4,decreasing,decreasing,1
0.6,3,0.35200000000000004,decreasing,decreasing,1
0.6,5,0.31744000000000006,decreasing,decreasing,1
0.6,7,0.289792,decreasing,decreasing,1
0.6,9,0.26656768000000003,decreasing,decreasing,1
0.6,11,0.24650186752000003,decreasing,decreasing,1
0.6,13,0.2288439525376,decreasing,decreasing,1
0.6,15,0.21310318261043204,decreasing,decreasing,1
0.6,17,0.19893648967598082,decreasing,decreasing,1
0.6,19,0.18609202141541176,decreasing,decreasing,1
0.6,21,0.17437786636177277,decreasing,decreasing,1
0.625,1,0.375,decreasing,decreasing,1
0.625,3,0.31640625,decreasing,decreasing,1
0.625,5,0.27520751953125,decreasing,decreasing,1
0.625,7,0.24302101135253906,decreasing,decreasing,1
0.625,9,0.21661801636219025,decreasing,decreasing,1
0.625,11,0.1943404893390835,decreasing,decreasing,1
0.625,13,0.17519573955360102,decreasing,decreasing,1
0.625,15,0.1585295511242748,decreasing,decreasing,1
0.625,17,0.1438815339500623,decreasing,decreasing,1
0.625,19,0.130911935410395,decreasing,decreasing,1
0.625,21,0.11936088671100381,decreasing,decreasing,1
0.65,1,0.35,decreasing,decreasing,1
0.65,3,0.28174999999999994,decreasing,decreasing,1
0.65,5,0.23516937499999996,decreasing,decreasing,1
0.65,7,0.19984573437499992,decreasing,decreasing,1
0.65,9,0.17171928552734372,decreasing,decreasing,1
0.65,11,0.14868372392111326,decreasing,decreasing,1
0.65,13,0.12946822628124935,decreasing,decreasing,1
0.65,15,0.11323113077556433,decreasing,decreasing,1
0.65,17,0.0993788586722768,decreasing,decreasing,1
0.65,19,0.0874736003701736,decreasing,decreasing,1
0.65,21,0.07718150456800535,decreasing,decreasing,1
0.675,1,0.32499999999999996,decreasing,decreasing,1
0.675,3,0.24821874999999996,decreasing,decreasing,1
0.675,5,0.19768708984374994,decreasing,decreasing,1
0.675,7,0.1607358133544921,decreasing,decreasing,1
0.675,9,0.13236416137508392,decreasing,decreasing,1
0.675,11,0.10995764922434617,decreasing,decreasing,1
0.675,13,0.09193441101309657,decreasing,decreasing,1
0.675,15,0.077248690306323,decreasing,decreasing,1
0.675,17,0.06516739038114133,decreasing,decreasing,1
0.675,19,0.05515501306814699,decreasing,decreasing,1
0.675,21,0.046808445030602094,decreasing,decreasing,1
0.7,1,0.30000000000000004,decreasing,decreasing,1
0.7,3,0.21600000000000008,decreasing,decreasing,1
0.7,5,0.16308000000000006,decreasing,decreasing,1
0.7,7,0.12603600000000004,decreasing,decreasing,1
0.7,9,0.09880866000000005,decreasing,decreasing,1
0.7,11,0.07822479096000005,decreasing,decreasing,1
0.7,13,0.06237521179920005,decreasing,decreasing,1
0.7,15,0.05001254005377603,decreasing,decreasing,1
0.7,17,0.04027693605425462,decreasing,decreasing,1
0.7,19,0.03255335688130098,decreasing,decreasing,1
0.7,21,0.026389940701283976,decreasing,decreasing,1
0.725,1,0.275,decreasing,decreasing,1
0.725,3,0.18528125,decreasing,decreasing,1
0.725,5,0.13161822265625,decreasing,decreasing,1
0.725,7,0.09595466906738283,decreasing,decreasing,1
0.725,9,0.07106819557865146,decreasing,decreasing,1
0.725,11,0.05320592923211449,decreasing,decreasing,1
0.725,13,0.040147868271698216,decreasing,decreasing,1
0.725,15,0.030477907771189933,decreasing,decreasing,1
0.725,17,0.023248101365731792,decreasing,decreasing,1
0.725,19,0.017802651346731868,decreasing,decreasing,1
0.725,21,0.013677042276087044,decreasing,decreasing,1
0.75,1,0.25,decreasing,decreasing,1
0.75,3,0.15625,decreasing,decreasing,1
0.75,5,0.103515625,decreasing,decreasing,1
0.75,7,0.070556640625,decreasing,decreasing,1
0.75,9,0.04892730712890625,decreasing,decreasing,1
0.75,11,0.03432750701904297,decreasing,decreasing,1
0.75,13,0.024290144443511963,decreasing,decreasing,1
0.75,15,0.017299838364124298,decreasing,decreasing,1
0.75,17,0.012384779402054846,decreasing,decreasing,1
0.75,19,0.008903279303922318,decreasing,decreasing,1
0.75,21,0.0064227104840028915,decreasing,decreasing,1
0.775,1,0.22499999999999998,decreasing,decreasing,1
0.775,3,0.12909374999999998,decreasing,decreasing,1
0.775,5,0.07892279296874999,decreasing,decreasing,1
0.775,7,0.04976092419433593,decreasing,decreasing,1
0.775,9,0.03196307115795135,decreasing,decreasing,1
0.775,11,0.020790468914360923,decreasing,decreasing,1
0.775,13,0.013646986354865304,decreasing,decreasing,1
0.775,15,0.00902030577570626,decreasing,decreasing,1
0.775,17,0.005994890428240545,decreasing,decreasing,1
0.775,19,0.0040018980680975045,decreasing,decreasing,1
0.775,21,0.002681291505457723,decreasing,decreasing,1
0.7999999999999999,1,0.20000000000000007,decreasing,decreasing,1
0.7999999999999999,3,0.10400000000000008,decreasing,decreasing,1
0.7999999999999999,5,0.057920000000000055,decreasing,decreasing,1
0.7999999999999999,7,0.03334400000000004,decreasing,decreasing,1
0.7999999999999999,9,0.019581440000000033,decreasing,decreasing,1
0.7999999999999999,11,0.011654205440000016,decreasing,decreasing,1
0.7999999999999999,13,0.007003561164800014,decreasing,decreasing,1
0.7999999999999999,15,0.00423974970982401,decreasing,decreasing,1
0.7999999999999999,17,0.002581462836838406,decreasing,decreasing,1
0.7999999999999999,19,0.0015791205491671085,decreasing,decreasing,1
0.7999999999999999,21,0.0009696964382629588,decreasing,decreasing,1
0.825,1,0.17500000000000004,decreasing,decreasing,1
0.825,3,0.08115625000000003,decreasing,decreasing,1
0.825,5,0.04051017578125003,decreasing,decreasing,1
0.825,7,0.02094925256347658,decreasing,decreasing,1
0.825,9,0.011064873549995432,decreasing,decreasing,1
0.825,11,0.0059274675577386075,decreasing,decreasing,1
0.825,13,0.0032078532605876496,decreasing,decreasing,1
0.825,15,0.0017494600937404475,decreasing,decreasing,1
0.825,17,0.0009598769182520792,decreasing,decreasing,1
0.825,19,0.000529225094621132,decreasing,decreasing,1
0.825,21,0.0002929587378816033,decreasing,decreasing,1
0.85,1,0.15000000000000002,decreasing,decreasing,1
0.85,3,0.06075000000000002,decreasing,decreasing,1
0.85,5,0.02661187500000001,decreasing,decreasing,1
0.85,7,0.01210317187500001,decreasing,decreasing,1
0.85,9,0.005628663105468754,decreasing,decreasing,1
0.85,11,0.002656863580253908,decreasing,decreasing,1
0.85,13,0.0012675473022159677,decreasing,decreasing,1
0.85,15,0.0006096068076880003,decreasing,decreasing,1
0.85,17,0.0002950290087418158,decreasing,decreasing,1
0.85,19,0.0001435073689160703,decreasing,decreasing,1
0.85,21,7.009513442049653e-05,decreasing,decreasing,1
0.875,1,0.125,decreasing,decreasing,1
0.875,3,0.04296875,decreasing,decreasing,1
0.875,5,0.01605224609375,decreasing,decreasing,1
0.875,7,0.0062389373779296875,decreasing,decreasing,1
0.875,9,0.0024822801351547237,decreasing,decreasing,1
0.875,11,0.0010030963458120823,decreasing,decreasing,1
0.875,13,0.00040988201362779364,decreasing,decreasing,1
0.875,15,0.00016888869117792638,decreasing,decreasing,1
0.875,17,7.0043773766848e-05,decreasing,decreasing,1
0.875,19,2.9201603031020484e-05,decreasing,decreasing,1
0.875,21,1.2226575818942171e-05,decreasing,decreasing,1
0.9,1,0.09999999999999998,decreasing,decreasing,1
0.9,3,0.02799999999999999,decreasing,decreasing,1
0.9,5,0.008559999999999995,decreasing,decreasing,1
0.9,7,0.002727999999999998,decreasing,decreasing,1
0.9,9,0.0008909199999999988,decreasing,decreasing,1
0.9,11,0.00029570607999999954,decreasing,decreasing,1
0.9,13,9.928548639999986e-05,decreasing,decreasing,1
0.9,15,3.362488796799994e-05,decreasing,decreasing,1
0.9,17,1.1464435997199973e-05,decreasing,decreasing,1
0.9,19,3.929882327127992e-06,decreasing,decreasing,1
0.9,21,1.353064971963373e-06,decreasing,decreasing,1
0.9249999999999999,1,0.07500000000000007,decreasing,decreasing,1
0.9249999999999999,3,0.016031250000000028,decreasing,decreasing,1
0.9249999999999999,5,0.00375837890625001,decreasing,decreasing,1
0.9249999999999999,7,0.0009202774658203156,decreasing,decreasing,1
0.9249999999999999,9,0.00023115095981597996,decreasing,decreasing,1
0.9249999999999999,11,5.904161494139702e-05,decreasing,decreasing,1
0.9249999999999999,13,1.5261300338924932e-05,decreasing,decreasing,1
0.9249999999999999,15,3.980051415466491e-06,decreasing,decreasing,1
0.9249999999999999,17,1.0451640002230062e-06,decreasing,decreasing,1
0.9249999999999999,19,2.759789234779415e-07,decreasing,decreasing,1
0.9249999999999999,21,7.320250762102377e-08,decreasing,decreasing,1
0.95,1,0.050000000000000044,decreasing,decreasing,1
0.95,3,0.007250000000000012,decreasing,decreasing,1
0.95,5,0.0011581250000000031,decreasing,decreasing,1
0.95,7,0.00019357812500000063,decreasing,decreasing,1
0.95,9,3.3222207031250136e-05,decreasing,decreasing,1
0.95,11,5.80134505859378e-06,decreasing,decreasing,1
0.95,13,1.0255449316894594e-06,decreasing,decreasing,1
0.95,15,1.8295733787133913e-07,decreasing,decreasing,1
0.95,17,3.2871422722486373e-08,decreasing,decreasing,1
0.95,19,5.93933905966443e-09,decreasing,decreasing,1
0.95,21,1.0780979585250659e-09,decreasing,decreasing,1
