n,game,seed,replenish,true_loss,C0,Cstar,Ctilde,r_C0,r_Cstar,r_Ctilde,chain_violation,naive,drift_rate,naive_violation,joint_violation,usable
2,32,1879383517,False,0.13265045994715363,2.3522578665487477,0.37072587883546804,0.14704887386177226,17.73275318823515,2.794757583073295,1.1085440180181416,0,0.13487878294348904,1.0,0,0,True
2,33,1243185674,True,0.19368287707599352,1.8374446120084202,0.39675640353986436,0.19384251887644063,9.486871734600882,2.048484664879244,1.0008242432312924,0,0.1955318002060655,1.0,0,0,True
2,34,1815655709,True,0.23805383098921373,4.66116106351706,0.46315179051468464,0.23812966041499314,19.58028167052795,1.9455758749611138,1.0003185389853393,0,0.24203746399922954,1.0,0,0,True
2,35,806201100,False,0.07568110202004918,5.770885147539962,0.16162160993306585,0.07684126948820998,76.25265744691666,2.135561000291058,1.0153296851815587,0,0.07871738001893859,1.0,0,0,True
2,36,908297868,False,0.141385396059718,8.619306710239664,0.3040605107768076,0.1420535524427582,60.963203771053294,2.1505793331609673,1.0047257807500711,0,0.15799896255025725,1.0,0,0,True
2,37,1543657889,True,0.24484916112374222,7.868704199524811,0.5736626583601642,0.24519917605852184,32.13694571552203,2.342922702807406,1.001429512493215,0,0.25173160166666875,1.0,0,0,True
2,38,156652361,True,0.40532439741502824,8.931241176523505,0.8133495540438607,0.4056196327244732,22.034797889006523,2.0066632041669052,1.0007283926438375,0,0.4282786909896471,1.0,0,0,True
2,39,1141051470,False,0.1294104544692929,5.274479692184985,0.23114366110026907,0.1297431170694844,40.75775573013337,1.7861281922560275,1.0025706006640325,0,0.13653839539541143,1.0,0,0,True
2,40,1444696808,True,0.3039485419166392,6.943484019814645,0.5236141911264346,0.30518613159789626,22.844274810566326,1.722706704972583,1.004071707906388,0,0.3093601614056336,1.0,0,0,True
2,41,546762614,False,0.010243356127297876,8.665232642273091,0.02369189951215988,0.01059457276567616,845.9368721137022,2.312904014829916,1.0342872623009087,0,0.010111162002442161,1.0,1,0,True
2,42,1545136977,True,0.19135487311440524,5.5828628333151205,0.3654087387826544,0.1916086549588148,29.175441118645026,1.90958679460537,1.0013262366423135,0,0.1921036026182558,1.0,0,0,True
2,43,1083230753,False,0.05064299479241319,3.213129378646105,0.11762390487701993,0.0510162011099907,63.44667000474196,2.322609580242303,1.0073693571856739,0,0.051768906314650254,1.0,0,0,True
2,44,1633503582,False,0.12880394399554573,5.869013387937893,0.3395476941444803,0.1315884182167099,45.56547886562273,2.63615913932125,1.0216179267092975,0,0.13631537150552087,1.0,0,0,True
2,45,704750837,True,0.2521382521397384,7.839827596102938,0.5730918843868812,0.25304780167794194,31.0933685371865,2.2729271719916024,1.003607344504393,0,0.26269797254021965,1.0,0,0,True
2,46,566779217,False,0.15634080924883698,4.834047810884209,0.3832652345850272,0.16164378368238946,30.91993596624017,2.4514727563870427,1.033919323169884,0,0.16959869022868745,1.0,0,0,True
2,47,1533673822,True,0.1707878404998424,2.9108448557788678,0.3503594770979531,0.17140284172146275,17.04363054922258,2.0514310390749184,1.003600966086464,0,0.17253314323428448,1.0,0,0,True
2,48,104252791,False,0.18076401812358167,4.941863352989757,0.3891968966456815,0.18178553030818956,27.33875582258405,2.1530661947313097,1.0056510814221309,0,0.20323054161688928,1.0,0,0,True
2,49,809899614,True,0.1723166387365973,6.123761062541066,0.3587266992349243,0.1726327332710639,35.5378395692933,2.0817879333363325,1.001834381965573,0,0.17449161067108762,1.0,0,0,True
2,50,860813095,True,0.34316376142402927,8.872787166256572,0.5680877052388185,0.3431902949529318,25.855839583518666,1.6554420049524479,1.0000773203114235,0,0.34786550893947454,1.0,0,0,True
2,51,679605936,False,0.11183402796258646,7.164010650422121,0.2893848217632514,0.12840650984449783,64.05930986245802,2.587627639237529,1.1481881872971222,0,0.14159438103151353,1.0,0,0,True
2,52,1700138882,True,0.3230474732400941,6.710375830264732,0.6533111780630401,0.32305039359107557,20.772104368937356,2.022337991102282,1.0000090400056443,0,0.33437984187412273,1.0,0,0,True
2,53,170294838,False,0.013517699939414651,10.124158064176092,0.024175882374775845,0.013533878236377871,748.9556736391422,1.788461238459974,1.0011968232048152,0,0.01357410111557337,1.0,0,0,True
2,54,1441526999,False,0.061634493582224614,7.234866056852103,0.15675068346842036,0.062219232748826216,117.38339420604306,2.5432298435178065,1.0094872064750806,0,0.06339418916513614,1.0,0,0,True
2,55,1231901276,False,0.030615171287222243,5.6752131272075115,0.06587019438316451,0.03074658484648462,185.37257472657544,2.1515540045551385,1.0042924325991678,0,0.0310334230570808,1.0,0,0,True
2,56,1846923787,False,0.09003006664991675,4.183828042798896,0.145814222961061,0.09049342888370293,46.47145335421969,1.619616961165449,1.0051467498695517,0,0.09116512325586981,1.0,0,0,True
2,57,1921983831,True,0.344399751039667,5.054639033534183,0.5685040301978707,0.34445337440932544,14.676662855519904,1.6507097594631883,1.0001557009536057,0,0.36502657892183765,1.0,0,0,True
2,58,1514711734,False,0.062409936647906505,9.043604804094418,0.12318571398951052,0.06580279382096633,144.9064890918741,1.9738157191935346,1.0543640541121049,0,0.06388632617940934,1.0,0,0,True
2,59,1647140548,False,0.07910517221412627,2.7294266258239013,0.1506828692409657,0.07994983492813348,34.50376946826862,1.9048421869696324,1.0106777179085185,0,0.08129177546238103,1.0,0,0,True
2,60,1224268757,False,0.11024871473110309,6.614167619795967,0.27159706041064513,0.11309726807505109,59.99314945238082,2.4634941193924216,1.025837519747016,0,0.1176081514673177,1.0,0,0,True
2,61,2140277470,False,0.22884424971376838,5.701146954621086,0.498943486398317,0.23219535142877373,24.91278221651587,2.1802753926409806,1.0146435915221677,0,0.2694015508950029,1.0,0,0,True
2,62,2032646512,False,0.09510784357918212,4.951767368617119,0.2151438929817485,0.10349218974077981,52.06476334935006,2.2621046265509137,1.0881562008565286,0,0.09882077939123425,1.0,0,0,True
2,63,1338252685,True,0.358074552288592,6.648607071999893,0.6563340584422164,0.36112678759155736,18.56766148140406,1.8329536523814198,1.0085240218369538,0,0.36742917754613674,1.0,0,0,True
2,64,1930469649,False,0.09614708830242735,5.656049864225212,0.2337760423563946,0.0974280845805056,58.82705305057499,2.4314417262544668,1.0133232976754212,0,0.09082457038463758,1.0,1,0,True
2,65,1937191050,True,0.21421972493844965,6.877257577262003,0.4168042657262882,0.21959016920073698,32.10375505447969,1.9456857478742717,1.0250697934741089,0,0.226271463554801,1.0,0,0,True
2,66,1912112503,False,0.20433569917868555,7.46767728974105,0.4091643122070942,0.20685935916866152,36.546121503765164,2.0024122747601343,1.0123505584198926,0,0.23327643579616575,1.0,0,0,True
2,67,1628312690,True,0.36164713975437257,5.633909511836395,0.6936324815121507,0.3632238562029364,15.578471091083133,1.917981383685931,1.0043598200434676,0,0.37881301042269966,1.0,0,0,True
2,68,104360714,False,0.17404602058116314,6.46648507842094,0.3062647407493721,0.178226916164244,37.15388066230112,1.7596767781688591,1.0240217821075155,0,0.18354599168219646,1.0,0,0,True
2,69,1366900982,False,0.030597100036333202,7.835040376583007,0.06570507461502471,0.030750405037297878,256.07133902491137,2.1474281725066025,1.0050104421916661,0,0.03107123937782788,1.0,0,0,True
2,70,1095352899,True,0.30683395166996164,8.232362561263612,0.5597785086805557,0.30694818612186037,26.830024892807657,1.8243695185422883,1.00037230055956,0,0.3091526055131963,1.0,0,0,True
2,71,1640650567,True,0.314709816497726,7.404822881206447,0.6433319929918303,0.3151029538314371,23.529049597535995,2.044206946421955,1.0012492058178744,0,0.31878026776363283,1.0,0,0,True
2,72,880091738,False,0.17303305148712012,8.862533855490131,0.28865444194442996,0.17622744884704325,51.21873410496851,1.668204076987663,1.0184611976294073,0,0.18306947885543165,1.0,0,0,True
2,73,1018360728,True,0.24216976482816666,5.815054849153433,0.4330293761662963,0.24430303459455996,24.012307454151216,1.7881232055271452,1.0088089847545874,0,0.2488269544824659,1.0,0,0,True
2,74,420376857,False,0.049361948242347076,3.27420012350147,0.1056320999740984,0.0496712923996364,66.3304476441343,2.1399499763560343,1.0062668546988982,0,0.04737102661660811,1.0,1,0,True
2,75,107014968,False,0.15398392136618444,5.624983167962905,0.3041504418465456,0.15465903461779604,36.52967867071202,1.9752090942226024,1.0043843100345922,0,0.16818568070243325,1.0,0,0,True
2,76,2030045016,True,0.5170692280023457,6.703738517936685,0.8693696603722819,0.5170806007770962,12.964876180769886,1.6813409371333505,1.0000219946849176,0,0.5852437169937318,1.0,0,0,True
2,77,750782388,True,0.25108261352706673,7.487113487128792,0.4690084133488028,0.251608761753805,29.819322739850644,1.8679446050064459,1.0020955183608582,0,0.26315497116068964,1.0,0,0,True
2,78,1296558497,True,0.23172795979347827,5.550155776560256,0.40919373225928435,0.231771675351043,23.95117007678613,1.7658366846364504,1.0001886503363846,0,0.23754544573063793,1.0,0,0,True
2,79,35072564,False,0.15914679799445475,8.21083942621036,0.28448030592658513,0.1637130225424936,51.59286601855763,1.7875339592851718,1.0286919033595507,0,0.17384110865748725,1.0,0,0,True
3,0,1793051918,True,0.4019792449492616,11.597338650987858,0.7234820823244621,0.41332181494440073,28.85059066283805,1.7997995951651211,1.028216805065572,0,0.41586012488821306,1.0,0,0,True
3,1,875079009,False,0.061631139598911755,16.82990280860135,0.11252506457669435,0.06500567027306364,273.07466514700826,1.8257826369753067,1.0547536634258743,0,0.07670666081572668,1.0,0,0,True
3,2,902462479,True,0.47559312763532535,9.807757413952388,0.8557482248650666,0.4771549679902933,20.622159665588704,1.7993284072877438,1.003283984280289,0,0.48195824538234994,1.0,0,0,True
