part,game,mono_consistent,cstar_min,cstar_max,loss_min,loss_max,cstar_N1,cstar_Nlast,loss_N1,loss_Nlast,spearman_rho,has_reversal
a,49,1.0,0.11876456379663028,1.6604761198345126,0.06210894667068976,0.8267287353477196,,,,,,
a,50,1.0,0.13520671284402294,1.8793936872122017,0.06776336895577936,0.910064096103949,,,,,,
a,51,1.0,0.14042704486234917,1.9826974750246429,0.06888125170678149,0.9316601083097019,,,,,,
a,52,1.0,0.14535533921746555,2.041472315188802,0.07425897530535996,0.9991775643048096,,,,,,
a,53,1.0,0.11955540428477973,1.682484342119673,0.06257896638412512,0.8457585145733542,,,,,,
a,54,1.0,0.1295225307888388,1.8455975348367442,0.06439263043370762,0.8810244575633377,,,,,,
a,55,1.0,0.12458404671678211,1.759326227523923,0.062040251004130874,0.8331068114754204,,,,,,
a,56,1.0,0.12569639678369982,1.7619855180288126,0.06069020244588117,0.7989385578085133,,,,,,
a,57,1.0,0.1288621617332122,1.790812338313426,0.06378585993422224,0.8388848005377837,,,,,,
a,58,1.0,0.13155056606212254,1.8480168680415345,0.06867802189446663,0.9049052283879462,,,,,,
a,59,1.0,0.14170752396193634,2.0001483962388193,0.07138250658127897,0.9696706738555025,,,,,,
b,0,1.0,,,,,1.3635239699079873,0.2951766995176652,0.6411482573119787,0.1454311772506911,,
b,1,1.0,,,,,1.262397437399182,0.27273125593110203,0.612854962107756,0.13760946292355378,,
b,2,1.0,,,,,1.3547994748578989,0.29229363500545347,0.6659019173238463,0.14860560789972244,,
b,3,1.0,,,,,1.0884052108886126,0.233383420436601,0.5105127350258991,0.11367484155518805,,
b,4,1.0,,,,,1.2218324603062511,0.2632323132540398,0.5685375832080803,0.12714588731207513,,
b,5,1.0,,,,,1.2777018914305864,0.2761330224184055,0.5928856999108303,0.13234707390586772,,
b,6,1.0,,,,,1.3337856614079107,0.29016383403576496,0.6252883677855415,0.14013971130980665,,
b,7,1.0,,,,,1.2775842953000562,0.27533803766747333,0.6334371285326454,0.14062438931138327,,
b,8,1.0,,,,,1.3386798407555665,0.2881820608838345,0.6716254874686872,0.15016137525790335,,
b,9,1.0,,,,,1.3549213494422911,0.2978230649616681,0.6061523424137698,0.13709773756114846,,
b,10,1.0,,,,,1.2349573106982108,0.2670860327082396,0.568980348977929,0.1273462115168357,,
b,11,1.0,,,,,1.2565756714864416,0.2687116217138032,0.6271615010915961,0.1374713912003123,,
b,12,1.0,,,,,1.4050391861796918,0.3068323336019943,0.6957001370303402,0.15682151615667575,,
b,13,1.0,,,,,1.3489533690677689,0.29238216293541663,0.6490417061414485,0.14483906347201614,,
b,14,1.0,,,,,1.312123980197002,0.283062262727258,0.6552935085538064,0.14545141796088376,,
b,15,1.0,,,,,1.1511881302681006,0.24765286008807372,0.5652293206905676,0.12541801848308565,,
b,16,1.0,,,,,1.121172322447966,0.23809275872066618,0.5265087066325038,0.11464555701539565,,
b,17,1.0,,,,,1.20003148898337,0.26015518915199637,0.5803198666165903,0.1291838921943024,,
b,18,1.0,,,,,1.3599368374189305,0.29731874238287703,0.7335500867545729,0.16593546518695673,,
b,19,1.0,,,,,1.3412799485954527,0.2916405518756118,0.6578337265964659,0.14668268793199934,,
b,20,1.0,,,,,1.310093538286765,0.2824461687226529,0.6464691457270154,0.1425494324130366,,
b,21,1.0,,,,,1.241201156259743,0.2713286891651846,0.5766622722084788,0.12807776641446736,,
b,22,1.0,,,,,1.2433460367665328,0.26812507522682133,0.6269888890234881,0.13987041923109703,,
b,23,1.0,,,,,1.330531254418333,0.2872879270367336,0.6061116134692547,0.13505935416170997,,
b,24,1.0,,,,,1.1678006513133676,0.2531413603725655,0.5340663545797244,0.11867691400410152,,
b,25,1.0,,,,,1.2142787287909598,0.2630047023112131,0.5918064398370709,0.13020472719591966,,
b,26,1.0,,,,,1.354892319226708,0.29595690063142605,0.6707942122634295,0.15223624466459698,,
b,27,1.0,,,,,1.1549579208373097,0.24649293151090604,0.5445528800164969,0.11993842906099529,,
b,28,1.0,,,,,1.365100212427862,0.2960957020926673,0.61626710880296,0.13923592566879964,,
b,29,1.0,,,,,1.2597777709956957,0.27227497449803406,0.6295926935161643,0.1397228277288881,,
b,30,1.0,,,,,1.3086564950361055,0.2829090577768808,0.631648031625173,0.14076207578584915,,
b,31,1.0,,,,,1.3490887375914715,0.29387437011569983,0.6410297699043623,0.14372555602414613,,
b,32,1.0,,,,,1.2851800351850429,0.27823305693690403,0.635111943338945,0.14137137014185847,,
b,33,1.0,,,,,1.2514750598835274,0.27412346438047025,0.6111071589539401,0.13726280357090329,,
b,34,1.0,,,,,1.2165870631585578,0.2598404620909832,0.5540465060632124,0.12116561392276365,,
b,35,1.0,,,,,1.359443940977759,0.29651364128508817,0.6589168189698242,0.1469990353168433,,
b,36,1.0,,,,,1.2370479824441984,0.26877890816590144,0.6456757244248852,0.14363802138295487,,
b,37,1.0,,,,,1.3428261892680562,0.2921563497318491,0.6700166972383866,0.15002043469304144,,
b,38,1.0,,,,,1.2481006150242846,0.27058684538406086,0.6192306039296804,0.13724149689488688,,
b,39,1.0,,,,,1.3134591934638609,0.2835959916349866,0.6009993468673988,0.13257066071214688,,
b,40,1.0,,,,,1.0978261421952462,0.234773578659775,0.5244641665077205,0.11557216782182113,,
b,41,1.0,,,,,1.156486390067901,0.25065845259002417,0.5239617747177666,0.11568009802806267,,
b,42,1.0,,,,,1.3267257345362407,0.28809633030776993,0.6161417446452437,0.1388250843350417,,
b,43,1.0,,,,,1.2200329477310436,0.2656826702792138,0.613902203214839,0.13841591705175565,,
b,44,1.0,,,,,1.2547220274825532,0.27072279670104527,0.5668636673332151,0.1264749520012454,,
b,45,1.0,,,,,1.1532771061962714,0.2492759648201144,0.5651462389296864,0.1252883754427435,,
b,46,1.0,,,,,1.2680277711616796,0.2746346670891382,0.6185297631225584,0.13974004518780503,,
b,47,1.0,,,,,1.19317213236466,0.2558477497208404,0.5411328395545527,0.12035119655100544,,
b,48,1.0,,,,,1.3562631373808742,0.29388459163979436,0.6332466095220568,0.14158623950023366,,
b,49,1.0,,,,,1.1783643804758768,0.2556891388190427,0.5971449101739162,0.13323224252717433,,
b,50,1.0,,,,,1.3364731648788055,0.29096047362912864,0.655209694813239,0.14545529888274916,,
b,51,1.0,,,,,1.4021709420584783,0.30255079609105523,0.6690372605452761,0.1479311611879263,,
b,52,1.0,,,,,1.4464239928739042,0.31304354717789823,0.718877115822542,0.15941999662660603,,
b,53,1.0,,,,,1.1912328874381168,0.2575186906570005,0.6075213558345568,0.1343885660696079,,
b,54,1.0,,,,,1.3010209761649274,0.279252419535583,0.6300600533923766,0.13840807669359947,,
b,55,1.0,,,,,1.2441231697561477,0.2684206484751677,0.5998285314308363,0.13316941392513573,,
b,56,1.0,,,,,1.249247548992733,0.27066598517354773,0.5794207249259311,0.13008561164729376,,
b,57,1.0,,,,,1.2735800372680557,0.2773026708824098,0.6086061053739381,0.13671161889287162,,
b,58,1.0,,,,,1.3092498401869703,0.2833179571794737,0.6560549036656869,0.1472164256635332,,
b,59,1.0,,,,,1.41466850001995,0.30530231255045276,0.6952483465902985,0.1533513700903882,,
c,0,,,,,,,,,,0.9999999999999999,0.0
c,1,,,,,,,,,,0.9999999999999999,0.0
c,2,,,,,,,,,,0.9999999999999999,0.0
c,3,,,,,,,,,,0.9999999999999999,0.0
c,4,,,,,,,,,,0.9999999999999999,0.0
