game,unit_t,unit_s,unit_i,alpha_star,margin,delta_ctilde,T_fail,T_occ,identity_resid,cert_rise,occ_dominates
3,3,0,1,0.7032964591293821,0.03662979246271547,-0.00028107491450157784,-0.0002810749145015655,0.0,1.235990476633475e-17,0,0
3,2,2,1,0.775068236835084,0.10840157016841734,-7.068378765628935e-07,0.0,-7.068378766529758e-07,9.008227157785006e-17,0,0
3,1,2,1,0.8947288039710207,0.2280621373043541,-4.094547907618207e-06,0.0,-4.0945479077395485e-06,1.213417048589148e-16,0,0
3,1,1,0,0.5925779422145752,-0.07408872445209147,-0.0027641617913148897,-0.002863408680849208,9.924688953425861e-05,5.984795992119984e-17,0,0
3,0,1,0,0.649163544084682,-0.01750312258198461,-0.008652843229322138,-0.009234576440989755,0.0005817332116674997,1.1622647289044608e-16,0,0
3,0,2,1,0.7281500136778107,0.06148334701114411,-1.3978160298910858e-05,-1.4302173210693677e-05,3.240129118010761e-07,1.825694814511919e-17,0,0
3,2,3,1,0.5617570781409176,-0.10490958852574905,-0.0017633990761388718,-0.0017515318386074005,-1.1867237531532087e-05,6.071532165918825e-17,0,0
3,2,0,1,0.7549972973309917,0.08833063066432512,1.6959953749062784e-05,0.0,1.695995374904323e-05,1.955290855441827e-17,1,1
4,1,3,0,0.7631431829214895,0.0964765162548229,-0.004054931142108309,-0.004463722784063648,0.00040879164195507757,2.6194324487249787e-16,0,0
4,2,1,1,0.6950270938209787,0.028360427154312084,1.4706758146521004e-05,0.0,1.4706758146492473e-05,2.853145779531385e-17,1,1
4,3,1,1,0.7506395327976532,0.08397286613098653,-0.0033038836089188117,-0.0033038836089188087,0.0,3.0357660829594124e-18,0,0
4,1,2,0,0.8237475450555207,0.1570808783888541,-0.0025033771604797694,-0.002638896088483585,0.00013551892800374947,6.591949208711867e-17,0,0
4,3,0,0,0.6953901654797118,0.028723498813045145,-0.004062137419848011,-0.004260610872726599,0.00019847345287849052,9.80118763926896e-17,0,0
4,1,0,1,0.8073856423858985,0.14071897571923186,2.0460411389588984e-06,-3.964849097337086e-06,6.010890236155845e-06,1.4013990705732948e-16,1,1
4,3,2,1,0.5887565487387489,-0.07791011792791769,0.0,0.0,0.0,0.0,0,0
4,2,1,1,0.8756976857142751,0.20903101904760846,-0.0007191831986541608,-0.0007084686743731601,-1.071452428100591e-05,5.204170427930421e-18,0,0
4,3,0,1,0.715721813942241,0.04905514727557436,-0.0024141105769367455,-0.002414110576936777,0.0,3.165870343657673e-17,0,0
4,3,2,0,0.737754308464414,0.0710876417977474,-0.004074738589308791,-0.004413275421810522,0.00033853683250170496,2.6020852139652106e-17,0,0
4,1,2,1,0.8955073681533121,0.22884070148664548,-0.0009492710357602019,-0.0010318399256826905,8.256888992238959e-05,9.90960785651751e-17,0,0
4,0,1,0,0.7606886819495561,0.09402201528288945,-0.0013785222547534892,-0.0019073085845446435,0.0005287863297909772,1.7694179454963432e-16,0,0
5,2,3,1,0.6878102641058644,0.021143597439197803,-0.0020299602902131286,-0.0021359714404438164,0.00010601115023074718,5.941427905220564e-17,0,0
5,0,0,1,0.5746252916112136,-0.09204137505545307,-8.95908527460687e-05,-7.626543012399731e-05,-1.3325422622139723e-05,6.833184192089892e-17,0,0
5,0,0,1,0.7872876764827612,0.12062100981609458,-2.9870814714005878e-05,-2.50312211427418e-05,-4.839593571365221e-06,1.011425101657415e-16,0,0
